항목,내용
한글명,PLUS 국채선물10년
영문명,PLUS 10-Year Korea Treasury Bond Futures
표준코드,KR7289670002
종목코드,289670
상장일,2018-02-07
펀드형태,수익증권형
기초지수명,10년국채선물지수
추적배수,일반 (1)
자산운용사,한화자산운용
지정참가회사(AP),"미래에셋대우, 메리츠종합금융증권, IBK투자증권"
총보수(%),0.05
회계기간,"최초 회계기간은 투자신탁의 최초설정일부터 해당년도 12월 31일까지로 하고, 그 이후 회계기간은 매년 1월 1일부터 12월 31일까지로 한다."
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일"
홈페이지,http://www.arirangetf.com/
http://www.arirangetf.com/,http://www.arirangetf.com/
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (-) (장기) / (-)
기본 정보,"- 이 투자신탁은 국내 채권 및 채권관련 파생상품을 주된 투자대상자산으로 하고, 수익증권 1좌당 순자산가치의 변동률을 한국거래소에서 산출하여 공표하는 추적대상지수인 국채 10년 선물지수(F-LKTB Index)의 변동률과 유사하도록 운용함을 목적으로 합니다. - 이 투자신탁은 추적대상지수인 국채 10년 선물지수(F-LKTB Index)의 성과를 가장 효율적으로 추종할 수 있도록, 추적대상지수를 구성하고 있는 종목 대부분을 편입합니다. 다만, 추적대상지수의 구성종목에 변경이 있을 경우에는 추적대상지수에 포함되지 않은 종목에 투자될 수도 있습니다."
투자유의사항,"- 파생상품투자위험: 파생상품(선물 등 투자)은 작은 증거금으로 거액의 결제가 가능한 지렛대효과(레버리지 효과)로 인하여 기초자산에 직접 투자하는 경우에 비하여 높은 위험에 노출됩니다. - 원본손실위험: 이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 예금보험공사가 보호하지 아니하며 원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자손실에 대하여 책임을 지지 아니합니다. 또한 예금자보호법의 적용을 받는 은행 등에서 집합투자증권을 매입하는 경우에도 은행예금과 달리 예금자보호법에 따라 예금보험공사가 보호하지 아니합니다. - 금리변동위험: 채권의 가격은 이자율에 의해 결정됩니다. 일반적으로 이자율이 하락하면 채권가격 상승에 의한 자본이득이 발생하고 이자율이 상승하면 채권가격 하락에 의한 자본손실이 발생합니다. 따라서 채권을 만기까지 보유하지 않고 중도에 매도하는 경우에는 시장상황에 따라 손실이 발생할 수 있습니다. - 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지 (http://www.arirangetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어 보시기 바랍니다."
