항목,내용
한글명,TIGER 미국필라델피아반도체레버리지(합성)
영문명,TIGER SYNTH-US PHLX Semiconductor 2X
표준코드,KR7423920008
종목코드,423920
상장일,2022-04-19
펀드형태,수익증권형
기초지수명,PHLX Semiconductor 2.0x Daily Leveraged Index
추적배수,2X 레버리지 (2)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),"한국투자증권(주), 키움증권(주), 메리츠증권(주), 삼성증권(주), KB증권(주), 신한금융투자(주), NH투자증권(주), 미래에셋증권(주), 이베스트투자증권(주)"
총보수(%),0.58
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,회계기간 종료일. 다만 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일
홈페이지,wwww.tigeretf.com
wwww.tigeretf.com,wwww.tigeretf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (업종섹터) / (-) (-) / (-)
기본 정보,"이 ETF는 미국 주식을 기초자산으로 하는 주식관련 파생상품 및 집합투자증권을 주된 투자대상자산으로 하고, “PHLX Semiconductor Sector 지수(가격지수)(원화환산)”를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률 원화환산의 양의 2배수로 연동하여 투자신탁재산을 운용함을 목적으로 합니다. “PHLX Semiconductor Sector 지수”는 NASDAQ에서 발표하는 지수로서, 미국에 상장된 종목 산업분류벤치마크(ICB) 하위섹터가 반도체인 시가총액 기준 상위 30개 기업으로 구성됩니다."
투자유의사항,"이 ETF는 기초지수와의 수익률 연동을 위해 거래상대방과 장외파생상품 계약을 체결하는 합성상장지수펀드로 거래상대방의 신용상태 악화, 부도 등에 따라 투자목적이 실현되지 못하고 손실이 발생할 수 있습니다. 또한 스왑 계약에 따른 비용이 예상치 못하게 과도하게 발생하는 경우 성과에 영향을 줄 수 있습니다. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. 상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
