항목,내용
한글명,TIGER 레버리지
영문명,TIGER200 Leverage
표준코드,KR7123320004
종목코드,123320
상장일,2010-04-09
펀드형태,수익증권형
기초지수명,코스피 200 레버리지지수
추적배수,2X 레버리지 (2)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),"대우증권, 미래에셋증권, 현대증권"
총보수(%),0.022
회계기간,매년 1월 1일부터 12월 31일까지
과세유형,배당소득세(보유기간과세)
분배금 지급일,회계기간 종료일(종료일이 영업일이 아닌 경우 그 직전 영업일)
홈페이지,http://www.tigeretf.com
http://www.tigeretf.com,http://www.tigeretf.com
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"KOSPI200 지수를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수의 일간변동률의 양의 2배수로 연동하는 것을 목표로 합니다.(""일간"", ""하루""란 전날 장 마감 시점과 다음날 장 마감시점을 기준으로 합니다) KOSPI200 지수의 수익률을 추종하는 것을 목표로 하는 ETF 및 KOSPI200 주가지수 선물로 포트폴리오를 구성하며 자산총액의 20% 한도 내에서 국고채, 통안채 등 안전자산을 차입 매도하는 방법으로 현금을 조성하고 파생상품 투자에 따른 증거금 등으로 활용합니다."
투자유의사항,"레버리지 ETF의 순자산가치가 기초지수인 KOSPI200 일간변동률의 2배로 연동되도록 설계되어 있기 때문에 2일 이상의 기간에는 일별수익률의 복리화 효과(Compounding effect on a daily basis)의 결과로 기초지수의 2배 수익률과 레버리지 ETF의 누적수익률간 불일치가 발생합니다. TIGER 레버리지는 하루보다 짧거나 긴 기간동안 KOSPI200 지수의 양의 2배 수익률을 추종하도록 설계/운용되지 않습니다. 그러므로 투자기간이 하루보다 짧거나 긴 경우에 TIGER 레버리지의 투자성과는 KOSPI200 지수 수익률의 양의 2배와 괴리가 발생할 수 있습니다. 상장된 ETF의 거래가격의 일간변동률은 당해 ETF의 순자산가치를 의미하는 1좌당 기준가격(NAV)의 일간변동률 및 기초지수 일간수익률의 양의 2배수와 큰 차이를 보일 수 있습니다. 동 ETF의 거래량이 적거나, ETF의 발행시장에서의 환매가 장기간 제한되어 있는 경우, 또는 투자하고 있는 투자대상의 유동성이 결여되어 있는 경우에 그 정도에 따라 이러한 경향은 더욱 강화될 수 있습니다. 투자대상자산으로 장외파생상품이 이용될 경우, 거래상대방의 부도 등으로 인한 Default Risk에 노출될 수 있으므로 투자시 유의하시기 바랍니다. 한국거래소에서는 레버리지 ETF의 운용성과를 쉽게 확인할 수 있는 투자참고지표로 일별 복리화 효과가 반영된 KOSPI200 레버리지 지수를 산출 발표하고 있으니 투자에 참고하시기 바랍니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
