항목,내용
한글명,ACE 미국배당다우존스
영문명,ACE S&P US Dividend 100
표준코드,KR7402970008
종목코드,402970
상장일,2021-10-21
펀드형태,수익증권형
기초지수명,Dow Jones U.S. Dividend 100 Price Return Index
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"한국투자증권, 키움증권, 미래에셋증권, KB증권"
총보수(%),0.01
회계기간,"최초회계기간: 투자신탁의 최초설정일로부터 2021년 12월 31일까지, 2022년 1월 1일 이후: 2022년 1월 1일부터 매1년간"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매 1,4,7,10월의 마지막영업일 및 투자신탁 회계기간 종료일. 단, 회계기간 종료일이 영업일이 아닐 경우 그 직전 영업일"
홈페이지,http://www.kindexetf.com
http://www.kindexetf.com,http://www.kindexetf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (전략) / (-) (배당) / (-)
기본 정보,"· 이 투자신탁은 S&P Dow Jones Indices가 발표하는“Dow Jones U.S. Dividend 100 Price Return Index”를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수와 유사하도록 투자신탁 재산을 운용함을 목적으로 합니다. · S&P Dow Jones Indices에서 산출·발표하는 Dow Jones U.S. Dividend 100 Price Return Index는 10년 연속 배당금을 지급한 미국상장 종목 중 우량 펀더멘털(5년 배당성장률, 현금흐름, ROE, 배당수익률) 상위 100종목으로 구성된 지수를 추종하는 상품으로, 2011년 8월 31일 발표, 1998년 12월 31일 1,000pt를 기준으로 산출되었습니다. · 이 투자신탁은 환헤지를 실행하지 않을 계획이므로 환율변동 위험에 노출되어 있음에 유의하시기 바랍니다."
투자유의사항,"· 해외 특정국가(미국)의 주식에 주로 투자하기 때문에 특정국가(미국)의 시장, 정치 및 경제상황 등에 따른 위험에 더 많이 노출되어 있습니다. · 본 투자신탁은 Dow Jones U.S. Dividend 100 Price Return Index를 기초지수로 하며, 기초자산 관련 배당금이 포함되지 않은 지수임에 유의하시기 바랍니다. · 이 투자신탁의 수익률은 다양한 이유(투자신탁 운용과 관련된 제반 비용, 현금배당, 구성종목의 교체/비중변경 등)로 기초지수인 “Dow Jones U.S. Dividend 100 Price Return Index”의 수익률과 괴리(추적오차)가 발생할 수 있습니다. 이 경우 자산운용회사는 추적오차를 최소화하기 위하여 투자신탁 관련비용의 최소화, 추적오차를 감안한 편입 종목수 조정 등의 보완방안을 실행할 예정이나, 불가피하게 최소한의 추적오차가 발생할 가능성이 있음을 유의하셔야 합니다. · 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kindexetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
