항목,내용
한글명,SOL 자동차소부장Fn
영문명,SOL Automobile Materials & Equipment
표준코드,KR7464600006
종목코드,464600
상장일,2023-08-22
펀드형태,수익증권형
기초지수명,FnGuide 자동차소부장지수(PR)
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"BNK투자증권, KB증권, NH투자증권, 미래에셋증권, 삼성증권, 신한투자증권, 유진투자증권, 키움증권, 한국투자증권"
총보수(%),0.45
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,비과세
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 법 시행령 제 92조 2항제 4호에서 규정하는 주된 투자대상자산으로 하며 FnGuide가 산출하는‘FnGuide 자동차소부장 지수(PR)’를 기초지수로 하여 기초지수의 수익률을 정배수로 추적하는 것을 목표로 하는 ETF상품입니다. 기초지수는 기존의 기계 산업 중심의 자동차 산업이 전동화, 연결성, 자율주행 등으로 가치가 분산 및 확장되며 기계 산업(기존의 자동차 산업), 전기전자 산업(전기전자장비, 디스플레이, 자율주행 하드웨어/소프트웨어)의 특성이 확대되는 점을 착안하여 구성되었으며 유가증권 및 코스닥 상장 종목 중에서 섹터기준/ 공통조건 /문서 및 Keyword 조건을 모두 충족하는 ‘미래차 소부장 유니버스’와 섹터기준(FICS Indurstry ‘자동차부품’)/공통조건을 모두 충족하는‘전통적 자동차 소부장 유니버스’로 구분하여 선정된 총40종목 중 시가총액 상위 20종목을 최종 선정하여 구성합니다. 출시 배경으로는 다양한 기술이 접목되는 융합산업으로 전환되는 자동차 산업에서 자동차 전장 등 ‘미래차 소부장 기업’과 기존 자동차 부품 사업 등의 ‘전통적 자동차 소부장 기업’에 선별하여 투자하는 자동차소부장에 대한 투자에 착안하였습니다. 당사는 新자동차의 밸류체인은 CASE(Connectivity, Autonomous, Shared mobility, Electrification)로 요약했는데, 이러한 新자동차 밸류체인 패러다임에서 핵심적인 변화는 기존 전통적 자동차 대비 관련 부품 및 장비가 변화되고 확장되고 있다는 것을 파악했습니다. 자동차 소부장 관련 시장에서 기존 내연기관차의 구동력을 담당했던 엔진 분야의 중요도는 상대적으로 축소될 전망이며 친환경을 위한 전동화 자동차, 커넥티드카 등과 같은 신개념 자동차, ADAS(첨단 운전자 지원 시스템)&자율주행 자동차와 관련된 소부장 기업의 성장성은 확대 될 것으로 전망합니다. 자동차 소부장 중 이미 2차전지는 독립적인 섹터를 형성하여 다양한 ETF가 출시되어 있는 반면, 나머지 분야를 아우르는 전략의 ETF는 부재한 상황입니다. 기존 상장된 자동차 관련 ETF는 국내 완성차를 생산하는 기업 비중이 상대적으로 높은 경향을 보이지만, 당사의 ‘SOL 자동차소부장Fn’는 포트폴리오에 완성차 생산 기업들을 제외하고 전통적 자동차 소부장과 미래차소부장 기업을 중심으로 투자하는 차별화된 상품를 투자자에게 제공할 수 있을 것으로 예상하고 있습니다. 해당 ETF투자의 경우 1주당 10,000원(최초 설정시점 기준)으로 투자를 할 수 있습니다. 설정단위는 50,000좌이며, 현물설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
투자유의사항,"이 투자신탁은 투자 원리금 전랙이 보장 또는 보호되지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며, 투자의 결정과 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자의 결정 및 투자손실에 대하여 책임을 지지 아니합니다. 또한, 이 투자신탁은 예금자보호법의 적용을 받는 은행예금과 달리 은행 등에서 매입한 경우에도 예금자 보호를 받지 못합니다. 이 투자신탁은 증권시장 전체의 가격하락 또는 이자율 변동 등 거시경제지표의 변화에 따라 투자신탁 재산의 가치하락 위험에 노출됩니다. 경제성장률, 환율, 금리변동 등의 요인들은 시장 전체에 영향을 끼쳐 개별 투자자산들의 등락을 초래하며 이는 투자신탁 재산의 가치를 변화시킬 수 있습니다. 또한 투자신탁재산의 가치는 투자대상 종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 이 투자자산은 기초지수와 동일한 수익률을 실현함을 투자목적으로 하고 있으나, 투자신탁 보수, 지수사용료, 매매수수료 등 관련 비용의 지출 등으로 인하여 기초지수의 변동률과 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 따라서 이 투자신탁의 수익률과 추적대상지수의 수익률이 동일하지 못하거나 유사할 것을 전재로 하는 투자자는 당해 추적오차로 인하여 예상지못한 손실을 실현할 수 도 있습니다. 이 투자신탁은 일부 산업에 속하는 증권에 선별적으로 집중 투자합니다. 이에 따라 다양한 종목으로 구성된 기타 시장의 성과와는 크게 다를 수 있으며, 일반적으로 시장 전체에 투자하는 투자신탁보다 더 높은 위험을 부담할 수 있습니다. 이 투자신탁의 기초지수는 사업보고서 등 문서에서 지수산출업자가 선정한 테마 관련 키워드를 바탕으로 관련도가 높은 종목을 선정합니다. 그러므로 실제 해당 테마사업을 영위하고 기업 및 개별 기업의 시장점유율, 매출 등 실적과는 괴리가 발생할 수 있습니다. 유가증권 상장규정에 따라 이 투자신탁 1좌당 순자산가치의 일간변동률과 이 투자신탁의 추적대상지수의 일간변동률의 상관계수가 일정수준 미만으로 3개월간 지속되는 경우, 유동성공급계약을 체결한 유동성공급회원이 없는경우 등 관련규정에 의하여 이 투자신탁은 상장을 폐지하여야 합니다. 또한 지수산출기관이 지수발표를 중단하게 되는 등의 이유로 이 투자신탁이 목표로 하는 지수를 산정할 수 없거나 이용할 수 없게되는 경우, 공익 실현과 투자자보호를 위하여 한국거래소가 이 투자신탁 집합투자증권의 상장폐지가 필요하다고 인정하는 경우 등에도 이 투자신탁은 상장이 폐지될 수 있습니다. 이 경우 이 투자신탁의 신탁계약은 해지되고 잔여자산을 분배할 것이나 잔여자산 분배 시까지의 기간 동안에는 유통시장을 통한 집합누자증권의 현금화가 어려워질 가능성이 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.soletf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
