항목,내용
한글명,RISE 중기우량회사채
영문명,RISE Credit
표준코드,KR7136340007
종목코드,136340
상장일,2011-04-15
펀드형태,수익증권형
기초지수명,KOBI 크레딧 지수(총수익)
추적배수,일반 (1)
자산운용사,케이비자산운용(주)
지정참가회사(AP),"대신증권, 대우증권, 미래에셋증권, 삼성증권, 우리투자증권, 유진투자증권, KB투자증권, SK증권"
총보수(%),0.07
회계기간,"매년 6월, 12월의 분배금 지급기준일 제2영업일 전일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매월 마지막 영업일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kstaretf.com
http://www.kstaretf.com,http://www.kstaretf.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (회사채) / (-) (중기) / (-)
기본 정보,"1좌당 순자산가치의 변동률을 기초지수인 KOBI Credit 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다. 국내 크레딧 채권 대표종목의 가격변화를 지표화하여 산출하는 실시간 채권지수인 KOBI Credit 지수를 기초로 하는 ETF입니다. 안정성을 높이기 위해 A-등급 이상의 채권으로만 구성되며, 엄격한 종목 선별과정을 통해 선정된 우량채권에만 투자하여 KOBI Credit 지수와의 추적오차를 최소화하도록 운용합니다. KIS채권평가(주)가 산출하는 KOBI Credit 지수는 신용등급 A-이상, 잔존만기 5년 이하(등급별 차등적용)의 무보증회사채, 기타금융채, 은행채 중 대표성과 유동성을 감안하여 50종목을 선정하며, 동일비중으로 구성됩니다. 실제 운용방식은 지수를 완전히 복제하는 방식이 아니라, 신용등급이나 듀레이션과 같은 지수의 특성을 복제하는 방식으로 운용합니다. 벤치마크 지수 구성종목의 발행사가 발행한 채권만을 편입하며, 국공채에도 일부 투자할 수 있습니다. 포트폴리오 종목수는 10종목 이상, A등급 회사채의 경우 동일 발행사 10%이내에서 투자합니다. KOBI Credit 지수의 듀레이션은 2.0 수준입니다. 2010년 9월 1일 지수값을 10,000pt로 합니다. 1개월 단위로 정기변경을 실시합니다. (매월 첫 영업일) ETF의 설정단위는 10,000 좌이며, 현금설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다. 투자대상 채권에서 발생하는 이자를 주요한 원천으로 투자자에게 분배금을 지급할 수 있습니다. 지급기준일은 매년 6월10일의 전영업일, 12월 10일의 전영업일이며, ETF운용사가 정하는 분배율을 기준으로 산출한 금액을 지급기준일 익영업일로부터 10영업일 이내에 지급합니다."
투자유의사항,"채권에 대부분 투자하고 펀드의 듀레이션이 일정 범위에서 유지되므로, 금리 변화에 따른 위험에 노출됩니다. 기초지수와 동일한 수익률을 실현함을 목적으로 하고 있으나, 비용의 지출과 분배금의 지급 등의 이유로 기초지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 또한, 기초지수의 구성종목인 50종목 전체를 편입하지 않으므로, 추적오차가 최소화되도록 운용할 예정이나 기초지수와 편입자산의 차이에 따라 추적오차가 발생할 수 있습니다. 관련 규정에서 정하는 한도를 초과하여 추적오차가 발생하고 이것이 일정기간 이상 지속되는 경우, 기초지수를 산정할 수 없거나 이용할 수 없게 되는 경우, 기타 유가증권시장 상장규정 제 87조의2 상장폐지 기준에 해당하거나 공익과 투자자 보호를 위하여 증권시장이 이 투자신탁의 수익증권 폐지가 필요하다고 인정하는 경우 상장이 폐지될 수 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kbam.co.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
