항목,내용
한글명,RISE 200선물인버스
영문명,RISE 200 Futures Inverse
표준코드,KR7252410006
종목코드,252410
상장일,2016-09-12
펀드형태,수익증권형
기초지수명,코스피 200 선물인버스 지수
추적배수,1X 인버스 (-1)
자산운용사,케이비자산운용(주)
지정참가회사(AP),"KB투자증권, 현대증권"
총보수(%),0.6
회계기간,"매년 1월 1일부터 12월 31일까지. (단, 최초 회계기간은 최초 설정일로부터 2016년 12월 31일까지)"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kbstaretf.com
http://www.kbstaretf.com,http://www.kbstaretf.com
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 F-KOSPI200 지수를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수의 일간 변동률의 음(陰)의 1배수에 연동하도록 투자신탁재산을 운용함을 목적으로 합니다.  * F-KOSPI200 지수 : 선물시장에 상장된 코스피200지수 선물  최근월종목의 가격과 연동하는 지수  * “일간”이란 전날 장 마감시점과 다음날 장 마감시점 기준  ETF의 설정단위는 100,000좌이며, 현물설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
투자유의사항,"이 투자신탁은 F-KOSPI200 지수의 일간변동률의 음(陰)의 1배수로 연동하여 투자신탁재산을 운용함을 그 운용목적으로 합니다. 이는 일간단위로 기초지수의 수익률을 음(陰)의 1배수로 추구하는 것을 의미하며 투자기간 전체에 대해 누적하여 음(陰)의 1배수를 추구할 수 있다는 것을 의미하지 않습니다. 추적대상 지수와 유사한 수익률 실현을 그 투자목적으로 하는 집합투자기구라고 할지라도 아래의 여러 가지 현실적 제약으로 인하여 추적대상 지수와 유사한 수익률이 실현되지 아니할 가능성이 있습니다.  개인투자자는 ETF를 보유하게 되면 당해 ETF가 상장된 거래소(例 한국거래소)에서 매도하는 방법으로만 현금화가 가능합니다. 즉, 개인투자자는 판매회사 또는 지정참가회사에 환매를 청구할 수 없습니다.  상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kbstaretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
