항목,내용
한글명,ACE미국빅테크7+데일리타겟커버드콜(합성)
영문명,ACE US BigTech7 Daily CoveredCall(Synth)
표준코드,KR7480020007
종목코드,480020
상장일,2024-04-23
펀드형태,수익증권형
기초지수명,Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"한국투자증권, 키움증권"
총보수(%),0.45
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매월 15일(다만, 15일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.aceetf.co.kr
http://www.aceetf.co.kr,http://www.aceetf.co.kr
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (전략) / (-) (구조화) / (-)
기본 정보,이 투자신탁은 “Bloomberg US Big Tech Top 7 Plus Premium (QQQ) Decrement 15% Distribution Index”의 원화환산 지수에 연동하여 운용하는 것을 목표로 이 투자신탁 수익증권 1좌당 순자산가치의 변동률을 지수의 변동률과 유사하도록 투자신탁재산을 운용함을 그 목적으로 합니다. 이를 위하여 이 투자신탁은 기초지수 내 발생한 주식의 배당 및 콜옵션 프리미엄이 모두 반영된 “Bloomberg U.S. Tech Top 7 Plus Premium (QQQ) Index”를 기초자산으로 하여 수익이 결정되는 장외파생상품(Swap)에 주로 투자합니다.
투자유의사항,"이 투자신탁은 기초지수의 전략에서와 같이 주된 투자대상자산인 장외파생상품(Swap)에서 결정된 성과에서 기초지수 성과와의 차이(세금 및 각종 비용 차감 전)만큼을 분배금 지급재원으로 보유한 뒤, 매월 분배금 지급기준일을 기준으로 월간 유보된 분배금(세전 연 15%, 매월 약 1.25%)을 지급하는 것을 운용 세부 전략으로 합니다. 그러나 시장 상황에 따라 주요 분배 재원이 급격히 감소할 경우 집합투자업자는 운용 전략에 따라 분배금을 축소 또는 펀드 내 재투자 할 수 있으며, 이에 따라 지급하는 분배금이 연 15%를 미달할 수 있습니다."
