항목,내용
한글명,ACE 인도시장대표BIG5그룹액티브
영문명,ACE India Market Leaders Group Active
표준코드,KR7487920001
종목코드,487920
상장일,2024-09-10
펀드형태,수익증권형
기초지수명,Indxx India Big 5 Conglomerates Index (Price Return)
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"미래에셋증권, 키움증권, 하나증권, 한국투자증권"
총보수(%),0.45
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"지급기준일 : 매 1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.aceetf.co.kr
www.aceetf.co.kr,www.aceetf.co.kr
기초 시장,(해외) (아시아) (인도)
기초 자산,(주식) (전략) / (-) (기업그룹) / (-)
기본 정보,"· 이 투자신탁은 Indxx LLC가 발표하는 “Indxx India Big 5 Conglomerates Index (Price Return)”를 비교지수로 하여 비교지수대비 초과성과를 추구하는 Active ETF입니다. · “Indxx India Big 5 Conglomerates Index (Price Return)”는 인도 시장을 대표하는 핵심 그룹주의 성과를 추종하기 위해, 인도의 대형 그룹사 중 시가총액과 기업지배구조 등의 팩터를 바탕으로 상위 5개 그룹을 선정하고, 그 중 유동시가총액 상위 20개 기업에 동일 가중으로 투자하는 지수입니다. 이 지수는 2018년 3월 16일을 1,000pt 기준으로 하여 산출된 지수입니다. · 이 투자신탁은 원화대비 인도 루피화에 대한 환헤지를 실행하지 않을 계획이므로 환율변동 위험에 노출되어 있음에 유의하시기 바랍니다."
투자유의사항,"· 이 투자신탁은 1좌당 순자산가치의 일간변동률이 기초지수 일간성과와 유사하도록 추종하는 것을 목표로 하는 기존의 Passive ETF와 달리 투자신탁재산의 운용방식을 지수의 변화를 초과하도록 하는 것을 그 목표로하는 Active ETF입니다. 따라서, 이 투자신탁은 “Indxx India Big 5 Conglomerates Index (Price Return)”를 비교지수로 하여 매니저의 재량에 따라 운용되는 상품이므로, 비교지수와 다른 성과가 실현될 수 있습니다. · 해외주식(인도)에 주로 투자하기 때문에 해외시장의 시장, 정치 및 경제상황 등에 따른 위험에 더 많이 노출되어 있습니다. · 상품에 대한 자세한 내용은 자산운용사 홈페이지 (http://www.aceetf.co.kr/ ) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
