항목,내용
한글명,KODEX 차이나심천ChiNext(합성)
영문명,KODEX ChiNext
표준코드,KR7256750001
종목코드,256750
상장일,2016-11-08
펀드형태,수익증권형
기초지수명,SZSE ChiNext Price Index
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"NH투자증권, 미래에셋대우"
총보수(%),0.43
회계기간,회계기간 종료일. 다만 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일
과세유형,배당소득세(보유기간과세)
분배금 지급일,최초설정일로부터 2016년 12월 31일까지(상기 회계기간 경과 후의 회계기간 : 2017년 1월 1일부터 매 1년 간)
홈페이지,http://www.kodex.com
http://www.kodex.com,http://www.kodex.com
기초 시장,(해외) (아시아) (중국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 ChiNext Index(KRW 기준, 환헷지 안함, 이하“기초지수”라 한다)를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수 변동률과 연동하여 투자신탁재산을 운용함을 그 운용목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"환율변동위험 이 투자신탁은 주로 해외주식으로 구성된 위안화표시 주가지수를 기초로 하는 장외파생상품과 홍콩 혹은 중국 본토에 상장된 수익증권에 투자함으로써 국내통화와 달러간의 환율변동에 따른 위험에 노출되어 있습니다. 따라서 환율변동에 따른 투자신탁재산의 가치변동이 발생할 수 있습니다. ChiNext 시장 투자 위험 이 투자신탁은 중국 심천 증권거래소가 개설한 주식시장 중 IT, 헬스케어 등의 섹터비중이 높은 ChiNext Board(創業板)에 상장된 기업을 대상으로 하여 산출되는 주가지수를 기초지수로 합니다. 따라서, 중국 주식시장 전체를 대상으로 하는 주가지수와 섹터별 구성 비중에 차이가 있으며 지수의 변동성 또한 더 클 수 있습니다. 또한, ChiNext Board에 상장된 기업들은 Main Board(主板) 및 SME Board(中小企業板) 상장기업 대비 그 규모가 작고 첨단 산업을 영위하는 기업의 비중이 상대적으로 높아 중국의 나스닥(Chasdaq)시장으로 불리기도 합니다. 따라서 상장 기업의 실적 및 신용 상태의 변동에 따라 주가지수 수준 및 거래량이 크게 변동할 수 있으며 거래정지 및 상장폐지 등의 기업 이벤트(Corporate Event)도 보다 빈번히 발생할 수 있습니다. 이러한 특성들은 이 투자신탁의 기초지수인 ChiNext Index의 성과 및 안정성에 부정적인 영향을 미칠 수 있습니다. 기초자산 관련 비용에 따른 추적오차 위험 이 투자신탁은 중국본토 심천 ChiNext 시장에 상장된 주식에 투자하기 위하여 장외파생상품(Swap)을 활용합니다. 장외파생상품(Swap)의 거래 상대방은 이 투자신탁에게 ChiNext Index의 성과를 지속적으로 제공하며, 이를 위해 중국본토 심천 ChiNext 시장에서 발생할 수 있는 시장 위험(Market Risk), 기업 이벤트 위험(Corporate Event Risk) 등을 부담합니다. 이 때, 장외파생상품(Swap) 거래상대방이 부담하는 위험의 규모가 크거나 발생 빈도가 빈번할수록 장외파생상품(Swap) 거래상대방은 투자신탁에 보다 높은 비용을 청구합니다. 초지수 구성종목의 거래정지 및 상장폐지에 따른 가격괴리 위험 ChiNext Index 산출업자인 Shenzhen Securities Information Co., Ltd.(이하 SSI)가 제정한 ChiNext Index Ground Rule에 의거하여, SSI는 ChiNext Index 구성종목의 상장폐지 및 거래정지 등이 발생하면 해당 종목의 지수 편출을 결정할 수 있습니다. 그런데 SSI가 사전 예고 없이 이러한 지수 편출을 결정할 경우, 유동성공급자가 적절한 가격으로 이 투자신탁의 유동성 호가를 제출하기 어려워질 수 있으며, 이로 인해 투자신탁 순자산가치와 시장가격의 괴리가 발생할 수 있습니다. 합성ETF 투자위험 이 투자신탁은 거래상대방과의 장외파생상품 계약을 통한 합성상장지수집합투자기구로서 장외파생상품을 중요한 운용수단으로 하여 기초지수의 수익률을 추종합니다. 이에 따라 거래상대방의 자격요건과 위험관리 및 담보관리 등을 관리하고 있으며, 이 투자신탁의 계속성에 중대한 영향을 미칠 수 있을 경우 상장폐지의 사유가 될 수 있습니다. 또한 장외파생계약에 따른 복제비용, 헷징비용 및 각종 거래 수수료 등의 비용이 예상치 못하게 과도하게 발생할 경우, 이 투자신탁의 성과에 영향을 줄 수 있습니다."
