항목,내용
한글명,ACE 25-06 회사채(AA-이상)액티브
영문명,ACE 25-06 Term Coporate Bond Active
표준코드,KR7461260002
종목코드,461260
상장일,2023-06-20
펀드형태,수익증권형
기초지수명,KIS 크레딧 2506만기형(AA-이상)지수(총수익지수)
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"미래에셋증권, 한국투자증권"
총보수(%),0.05
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지이며 신탁계약 해지시에는 투자신탁 회계기간 초일부터 신탁계약의 해지일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.aceetf.com
http://www.aceetf.com,http://www.aceetf.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (회사채) / (-) (단기) / (-)
기본 정보,"· 이 투자신탁은 만기채권형 ETF로, 일반채권형과 달리 펀드의 존속기한이 정해져 있는 상품입니다. 구성자산은 유사 만기를 지닌 채권자산으로 구성되며, 펀드에서 정한 만기일이 되면 상환되는 구조를 갖습니다.  · ACE 25-06 회사채(AA-이상)액티브 ETF는 2025년 6월 27일을 존속기한으로 국내 회사채, 은행채, 특수채에 주로 투자하는 액티브ETF이며, 회사채의 경우 AA-이상 등급 채권에 투자합니다. · 존속만기형ETF의 경우 시간이 경과할수록, 만기일에 가까워질수록 듀레이션이 감소하므로 일반채권형 ETF에 비해 상대적으로 금리민감도가 낮아지게 됩니다."
투자유의사항,"· 이 투자신탁은 신탁계약의 존속기한이 있는 만기채권형으로 이 투자신탁에서 정한 존속만기에 매칭하여 운용할 예정이나, 만기 직전 종목의 유동성 급감 등으로 인하여 투자신탁의 만기 직전까지의 설정/환매 대응을 수행하지 못하는 경우가 발생할 수 있으며, 이럴 경우 만기 매칭매매 불가로 인하 비교지수와의 추적오차가 크게 확대될 수 있는 상황이 발생할 수 있음을 유의하시기 바랍니다.  · 이 투자신탁에 투자하여 만기까지 보유할 경우에는 원금과 투자시점 현재 만기수익률(비용차감 전)을 기대할 수 있으나, 만기까지 보유하지 않고 중도 환매(매도)할 경우 설정 이후 시장 금리변화에 따른 구성종목의 시가변동에 따라 기대 수익률보다 더 낮은 수익률을 달성할 수 있음을 유의하시기 바랍니다. 또한, 투자시점 고지된 투자신탁의 만기수익률(YTM)은 포트폴리오 내 채권 및 기타자산이 투자신탁의 만기까지 동일하다는 가정하에 충족되는 수익률(각종 비용 및 세금 차감 전)로서, 실제 운용 시 발생하는 보유 자산의 매도 또는 신규 자산의 매입 등에 따라 투자신탁의 만기 시 실현수익률은 투자시점 기준으로 고지된 만기수익률(YTM)과 다르게 달성될 수 있음을 유의하시기 바랍니다. · 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.aceetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
