항목,내용
한글명,HANARO 25-12 은행채(AA+이상)액티브
영문명,HANARO 25-12 Bank Bond(AA+) Active
표준코드,KR7489570002
종목코드,489570
상장일,2024-10-15
펀드형태,수익증권형
기초지수명,KIS 은행채2512만기형 지수
추적배수,일반 (1)
자산운용사,엔에이치아문디자산운용(주)
지정참가회사(AP),"NH, 미래에셋, 키움"
총보수(%),0.02
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지이며 신탁계약 해지시에는 투자신탁 회계기간 초일부터 신탁계약의 해지일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.nh-amundi.com/hanaroetf/
www.nh-amundi.com/hanaroetf/,www.nh-amundi.com/hanaroetf/
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (회사채) / (-) (단기) / (-)
기본 정보,"KIS 은행채2512만기형 지수를 비교지수로 하여 ETF의 순자산가치의 변화가 비교지수의 변화를 초과하도록 운용하는 액티브 ETF. 안정적 초과 수익 실현을 위해 다음과 같은 다양한 전략을 수행할 예정입니다. 1) 듀레이션 전략: 기본적으로 비교지수의 듀레이션을 추종하면서 시장상황에 따라 비교지수 대비 보유 채권의 듀레이션 조정 2) 섹터 및 종목선택 전략: 은행채와 신용 리스크가 유사한 공사채 등을 활용한 섹터 비중 조정, 상대적으로 높은 금리의 종목 편입으로 초과수익 창출 3) 기타: 보유채권을 담보로 대차/대여 및 환매조건부 매도 등을 통한 수익 제고, 국채 선물 매매를 통한 시장 대응 전략 등 수행 가능 KIS자산평가에서 산출, 발표하는 비교지수 KIS-NH-Amundi 은행채2512만기형 지수의 특징은 다음과 같습니다. 2025년 12월 10일 전후 1개월 이내 AA+등급의 발행잔액 500억 이상 특수은행채 및 시중은행채 종목들로 구성된 지수 특징 1)만기형 ETF 비교 지수 -『KIS 은행채 2512만기형 지수』는 국내 은행채 시장의 흐름을 추종하며 만기가 존재하여 하나의 가상 회사채 형태를 나타내는 지수 2)AA+등급 은행채 종목으로 구성 우량등급으로 분류되는 신용등급인 AA+ 등급 특수은행채 및 시중은행채 종목으로 구성하여 안정적인 수익률 을 고려한 지수 3) 장외 채권유통시장의 체결 및 호가 정보 반영 금투협BQS 와 KIS Pricing 에서 수집한 장외시장의 체결 및 호가 정보를 활용하여 해당 ETF 의 iNAV 산출"
투자유의사항,"이 ETF는 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 보호되지 아니하며, 원본이 보장되지 않습니다. 따라서, 투자원본의 전부 또는 일부 손실 위험이 존재하며 투자금액의 손실내지 감소의 위험은 전적으로 투자자가 부담합니다. 집합투자업자, 판매회사 등 어떠한 당사자도 투자손실에 대하여 책임을 지지 아니합니다. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. 상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.hanaroetf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
