항목,내용
한글명,히어로즈 단기채권ESG액티브
영문명,HEROES Short-Term Bond ESG Active
표준코드,KR7419890009
종목코드,419890
상장일,2022-03-03
펀드형태,수익증권형
기초지수명,KIS ESG 9M~1.5Y
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"미래에셋증권, 키움증권"
총보수(%),0.15
회계기간,"최초설정일로부터 2022년 12월 31일까지로 하며, 그 이후의 회계기간은 직전 회계기간 종료일 익일로부터 매 1 년으로 한다."
과세유형,배당소득세(보유기간과세)
분배금 지급일,회계기간 종료일(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (혼합) / (-) (단기) / (-)
기본 정보,"1. KIS ESG 9M~1.5Y 지수를 기초지수로 하여, 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률에 연동되도록 투자신탁재산을 운용합니다. 2. KIS자산평가가 제공하는 “KIS ESG 9M~1.5Y 지수”를 기초지수로 하는 액티브 상장지수 집합투자기구로, 기초지수와의 상관계수를 0.7이상 유지하면서 ESG 목적 발행채권과 ESG 우수 기업이 발행한 채권에 주로 투자합니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
