항목,내용
한글명,ITF 200
영문명,ITF KS200
표준코드,KR7472840008
종목코드,472840
상장일,2023-12-21
펀드형태,수익증권형
기초지수명,코스피 200
추적배수,일반 (1)
자산운용사,아이비케이자산운용 주식회사
지정참가회사(AP),"교보증권, 미래에셋증권, 신한투자증권, 유안타증권, 한국투자증권"
총보수(%),0.08
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,비과세
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.ibkasset.com/
http://www.ibkasset.com/,http://www.ibkasset.com/
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"1) 이 투자신탁은 국내주식을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하며, 1좌당 순자산가치의 일간변동률을 “KOSPI200 지수(PR)”의 1배수와 유사하도록 투자신탁재산을 운용함을 목적으로 합니다.  [기초지수] KOSPI 200 (PR) × 100% 2) 포트폴리오 조정 투자신탁의 수익률을 기초지수인 KOSPI 200 지수(PR)의 수익률과 유사하게 운용하기 위해 다음의 경우 수시 또는 정기적으로 투자종목을 교체하거나 비중을 조정합니다. - 기초지수 구성종목의 정기 또는 수시 교체 시 - 구성종목의 시가비중 변동 시 - 구성종목의 신용사건(부도 등) 발생 시 - 구성종목의 합병 또는 기업분할 발생 시 등"
투자유의사항,"집합투자증권은 ？예금자보호법？에 따라 예금보험공사가 보호하지 않는 실적배당상품입니다. 이 투자신탁은 신탁재산을 주로 KOSPI 200지수(PR)와 유사한 포트폴리오를 구성하여 해당 지수의 수익을 추구하는 상품으로 주식시장 변동에 따른 손실이 발생할 수 있습니다. 이 투자신탁은 상장지수집합투자기구로서 신탁재산을 주식, 주식관련 파생상품 등에 투자함에 따라 원본손실위험, 파생상품투자위험, 추적오차발생위험, 상장폐지위험 등이 있으므로 투자에 신중을 기하여 주시기 바랍니다."
