항목,내용
한글명,KOSEF KRX100
영문명,KOSEF KRX100
표준코드,KR7100910009
종목코드,100910
상장일,2008-01-23
펀드형태,수익증권형
기초지수명,KRX 100
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),
총보수(%),0.23
회계기간,매년 1월 1일부터 12월 31일까지.
과세유형,비과세
분배금 지급일,"매 1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일(종료일이 영업일이 아닌 경우 종료일의 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"1좌당 순자산가치의 변동률을 기초지수인 KRX 100 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다. 한국거래소가 산출하는 KRX 100 지수는 시가총액 및 유동성 지표 이외에도 수익성, 안정성, 건전성 등 다양한 기준을 반영하여 유가증권시장과 코스닥 시장을 대표할 수 있는 100개 종목을 선정하여 시가총액 가중방식으로 산출한 지수입니다. 기초지수를 구성하는 종목을 지수와 동일한 비중으로 모두 편입하여 운용하는 완전복제법으로 기초지수를 복제합니다. 다만, 상황에 따라 부분복제법을 사용할 수 있으며 10% 미만 비중으로 개별 종목을 기초자산으로 하는 선물에 일부 투자하여 운용합니다. 기초지수의 정기변경은 매년 6월 KOSPI200 주가지수 선물의 최종거래일의 다음 거래일에 실시합니다."
투자유의사항,"이 투자신탁은 기초지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 투자신탁보수 및 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 보유하고 있는 국내외 유가증권 등을 발행한 회사가 신용등급의 하락 또는 부도 등과 같은 신용사건에 노출되는 경우 그 유가증권 등의 가치가 하락할 수 있습니다. 투자신탁이 관련규정에서 정하는 사유에 해당하는 경우 투자신탁이 상장 폐지될 가능성이 있습니다. 또한, 지수산출기관이 지수발표를 중단하게 되는 등의 이유로 이 투자신탁이 목표로 하는 지수를 산정할 수 없거나 이용할 수 없게 되는 경우도 이 투자신탁은 상장이 폐지될 수 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kosef.co.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
