항목,내용
한글명,KODEX TRF5050
영문명,KODEX TRF5050
표준코드,KR7329660005
종목코드,329660
상장일,2019-07-04
펀드형태,수익증권형
기초지수명,FnGuide TRF 5050 지수
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"미래에셋대우, 신한금융투자"
총보수(%),0.17
회계기간,"(1) 최초회계기간 : 최초설정일로부터 2019년 12월 31일까지, (2) 상기 회계기간 경과 후의 회계기간 : 2020년 1월 1일부터 매 1년 간"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kodex.com
http://www.kodex.com,http://www.kodex.com
기초 시장,(국내&해외) (-) (-)
기초 자산,(혼합자산) (주식+채권) / (전략) (-) / (혼합/퀀트)
기본 정보,"이 투자신탁은 집합투자기구의 집합투자증권을 주된 투자대상자산으로 하며, FnGuide社에서 산출ㆍ발표하는 FnGuide TRF 5050 지수를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용함을 목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"시장위험 및 개별위험 투자신탁재산을 기초지수인 FnGuide TRF 5050 지수의 하위 인덱스인 MSCI World 지수와 KAP한국종합채권FOCUS 지수의 수익률을 추종하기 위한 국내외 상장지수집합투자증권 및 채권현물 등에 주로 투자합니다. 이에 증권의 가격 변동, 이자율 및 환율 등 기타 거시경제지표의 변화 등에 따른 위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상 주식 및 채권의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 집합투자증권 등 가격변동 위험 이 투자신탁은 집합투자증권 등에 투자하기 때문에 동 집합투자증권의 가격변동으로 인한 손실위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상 집합투자증권의 운용구조, 투자성과, 보수, 거래비용 등에 따라 급격히 변동될 수 있습니다. 이자율 변동에 따른 위험 채권의 가격은 이자율에 의해 결정됩니다. 일반적으로 이자율이 하락하면 채권가격의 상승에 의한 자본이득이 발생하고 이자율이 상승하면 자본손실이 발생합니다. 따라서 채권을 만기까지 보유하지 않고 중도에 매도하는 경우에는 시장상황에 따라 손실 또는 이득이 발생할 수 있습니다. 환율변동위험 이 투자신탁은 해외투자로 인한 환율변동 위험 제거를 위한 환헷지 전략은 기본적으로 실시하지 않을 계획이며, 환헷지 전략을 실시하는 경우에도 책임운용인력의 전략적인 판단에 의해서 일부 환헷지전략을 수행할 예정이므로 이후 환율변동으로 인한 급격한 신탁재산 가치변동을 초래할 수 있습니다. 심지어 투자신탁에서 투자한 증권의 가격상승으로 인한 수익이 발생하더라도 통화의 가치가 더 크게 하락할 경우 오히려 투자원본의 손실을 초래할 수도 있으며, 투자 증권의 가격하락으로 손실이 발생할 경우에도 해당 통화가치의 하락이 펀드의 손실폭을 더 확대시킬 수도 있습니다. ※ 특정국가의 환율정책 변경에 따른 위험: 현재 투자대상국가중 일부 국가의 경우 대 달러 환율의 일정 범위 내에서만 변동하는 관리 변동환율제가 적용되고 있으나 해당 국가의 통화 당국이 통화정책을 변경하여 일일 변동폭을 확대하거나 완전 변동환율제로 변경하는 등 통화정책의 변경으로 인한 추가적인 손실이 발생할 수도 있습니다. 파생상품 투자위험 파생상품은 작은 증거금으로 거액의 결제가 가능한 지렛대 효과(레버리지 효과)로 인하여 기초자산에 직접 투자하는 경우에 비하여 훨씬 높은 위험에 노출될 수 있습니다. 기초지수와의 상관관계 저하 위험 이 투자신탁의 성과와 관련된 다양한 요인들은 일간단위로 기초지수와 투자신탁의 성과간의 높은 상관관계를 달성하는데 영향을 줄 수 있으며 투자신탁이 일간단위로 높은 상관관계 달성하지 못하게 영향을 줄 수 있습니다. 기초지수와 투자신탁의 일간 단위 성과가 높은 상관관계를 달성하지 못하는 경우 이 투자신탁의 목적은 달성되지 않을 수 있습니다. 재간접 투자에 따른 추가 비용 이 투자신탁은 집합투자규약에 명시된 보수 이외에 재간접 투자에 따른 피투자신탁 보수가 발생하며, 지수사용료, 매매비용 등 기타비용이 추가로 발생할 수 있습니다. 따라서 해당 투자신탁 투자시 이에 대한 내용을 사전적으로 반드시 확인하시기 바랍니다."
