항목,내용
한글명,ACE 중장기국공채액티브
영문명,ACE Active Korea Treasury&Agency Bond
표준코드,KR7272910001
종목코드,272910
상장일,2017-06-29
펀드형태,수익증권형
기초지수명,KIS 종합채권국공채1-10Y지수
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"미래에셋대우, KB증권, 한국투자증권"
총보수(%),0.08
회계기간,"매년 1월1일부터 12월31일까지(단, 최초 회계기간은 최초 설정일로부터 2017년 12월31일까지)"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kindexetf.com/
http://www.kindexetf.com/,http://www.kindexetf.com/
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (국공채) (중기) / (장기)
기본 정보,"이 투자신탁은 투자신탁재산의 운용방식을 지수의 변화를 초과하도록 운용하는 것을 목표로 하는 Active ETF이며, 국공채를 주된 투자대상자산으로 하여 시장수익률 대비 초과수익을 추구할 계획입니다."
투자유의사항,· 이 투자신탁은 1좌당 순자산가치의 일간변동률이 기초지수 일간성과와 유사하도록 추종하는 것을 목표로하는 기존의 Passive ETF와 달리 투자신탁재산의 운용방식을 지수의 변화를 초과하도록 하는 것을 그 목표로하는 Active ETF 입니다. 이를 위하여 이 투자신탁은 KIS종합채권 국공채1-10Y 지수를 비교지수로 하여 매니저의 재량에 따라 운용되는 상품입니다. 따라서 이 투자신탁은 비교지수인 “KIS종합채권 국공채 1-10Y 지수” 와 다른 성과가 실현될 수 있습니다. · 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kindexetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다.
