항목,내용
한글명,KODEX WTI원유선물인버스(H)
영문명,KODEX WTI Crude Oil Futures Inverse(H)
표준코드,KR7271050007
종목코드,271050
상장일,2017-06-13
펀드형태,수익증권형
기초지수명,S&P GSCI Inverse Crude Oil Index ER
추적배수,1X 인버스 (-1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"신한금융투자, 유진투자증권, 하이투자증권, 삼성증권"
총보수(%),0.35
회계기간,"최초설정일부터 당해 연도 12월 31일까지로 하며, 이후의 회계기간은 그 익일로부터 매년 12월 31일까지로 함"
과세유형,배당소득세(보유기간과세)
분배금 지급일,회계기간 종료일. 다만 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일
홈페이지,http://www.kodex.com/
http://www.kodex.com/,http://www.kodex.com/
기초 시장,(해외) (-) (-)
기초 자산,(원자재) (에너지) / (-) (원유) / (-)
기본 정보,"이 투자신탁은 NYMEX(New York Mercantile Exchange, 뉴욕상업거래소)에서 거래되는 원자재선물 중에서 WTI 원유선물(NYMEX Light Sweet Crude Oil Futures, 이하 ‘WTI원유선물') 가격을 기초로 하는 S&P GSCI Crude Oil Index Excess Return(이하 “기초지수”라 한다)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수의 음(陰)의 1배의 일간변동률과 유사하도록 투자신탁재산을 운용함을 그 운용 목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,시장위험 및 개별위험 이자율 변동에 따른 위험 환율변동 위험 유동성 위험 거래상대방 및 신용위험 환매연기위험 오퍼레이션 위험 투자신탁 규모 변동에 따른 위험 투자신탁 해지 위험 투자신탁 소규모의 위험 파생상품 투자위험 상장폐지위험 개인수익자의 투자자금 회수 곤란 위험 지수산출방식의 대폭변경 또는 중단 위험 추적오차 발생위험 가격산출 중단위험 ETF 거래가격과 순자산가치(NAV)와의 괴리 위험 누적수익률과 괴리위험 롤오버(Roll-over)위험 실물자산 고유의 위험 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kodex.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다.
