항목,내용
한글명,히어로즈 미국성장기업30액티브
영문명,HEROES US Growth 30 Active
표준코드,KR7459790002
종목코드,459790
상장일,2023-06-27
펀드형태,수익증권형
기초지수명,MSCI USA Index(Price Return)
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"키움증권, 삼성증권, DB금융투자"
총보수(%),0.76
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"1. 이 투자신탁은 해외 주식을 주된 투자대상으로 하며, MSCI에서 산출 및 발표하는 “MSCI USA Index(Price Return)(원화환산)”를 비교지수로 하여 1좌당 순자산가치의 변동률이 비교지수의 변동률을 초과하도록 운용하는 것을 목적으로 합니다. 2. 이 투자신탁은 액티브상장지수펀드로서 비교지수의 구성종목인 해외 주식에 투자신탁재산의 60% 이상을 투자하며, 투자목석 달성을 위하여 비교지수 이외의 종목에도 투자할 수 있습니다. 향후 글로벌 산업 성장을 이끌어갈 성장 테마 내에서 구조적 성장세를 보이는 미국 주요 산업의 핵심 종목 30개 내외를 선정하여 포트폴리오를 구성할 예정입니다. 3. 이 투자신탁은 환율변동으로 인한 투자신탁재산의 위험을 방지하기 위한 환헤지 전략을 실행하지 아니할 계획입니다. 따라서, 이 투자신탁은 환율변동위험에 노출됩니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
