항목,내용
한글명,TIGER MKF배당귀족
영문명,TIGER MKF Dividend Aristocrats ETF
표준코드,KR7445910003
종목코드,445910
상장일,2022-10-18
펀드형태,수익증권형
기초지수명,MKF 배당귀족 지수(시장가격지수)
추적배수,일반 (1)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),"KB증권, NH투자증권, 메리츠증권, 미래에셋증권, 키움증권, 한국투자증권"
총보수(%),0.2
회계기간,"최초설정일부터 당해 연도 12월 31일까지로 하며, 이후의 회계기간은 그 익일로부터 매년 12월 31일까지로 함"
과세유형,비과세
분배금 지급일,"매년 1, 4, 7, 10월의 마지막 영업일 또는 회계기간 종료일"
홈페이지,http://www.tigeretf.com
http://www.tigeretf.com,http://www.tigeretf.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (전략) / (-) (배당) / (-)
기본 정보,"- 이 투자신탁은 국내 주식을 법 시행령 제94조제2항에서 규정하는 주된 투자대상자산으로 하여 “MKF 배당귀족 지수”를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 운용함을 목적으로 합니다. - “MKF 배당귀족지수”는 매일경제신문과 FnGuide가 공동 개발한 지수로, 10년 연속 주당배당금이 증가했거나 유지된 종목들 중 배당수익률이 높은 기업에 투자하는 지수입니다."
투자유의사항,"- 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. - 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. - 상품에 대한 자세한 내용은 집합투자업자 인터넷홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
