항목,내용
한글명,TIGER 은행고배당플러스TOP10
영문명,TIGER Bank High Dividend Plus TOP 10
표준코드,KR7466940004
종목코드,466940
상장일,2023-10-17
펀드형태,수익증권형
기초지수명,FnGuide 은행고배당플러스TOP10 지수(시장가격 지수)
추적배수,일반 (1)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),"BNK투자증권, KB증권, NH투자증권, 미래에셋증권, 유진투자증권, 이베스트투자증권, 키움증권, 하이투자증권, 한국투자증권"
총보수(%),0.3
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,비과세
분배금 지급일,"매월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.tigeretf.com
http://www.tigeretf.com,http://www.tigeretf.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (전략) / (-) (배당) / (-)
기본 정보,"- 이 ETF는 국내 상장된 주식을 주된 투자대상자산으로 하며, “FnGuide 은행고배당플러스TOP10 지수”의 수익률 추종을 목적으로 하는 ETF입니다. - “FnGuide 은행고배당플러스TOP10 지수”는 FnGuide에서 산출 및 발표하는 지수로 유가증권시장 및 코스닥 상장 종목 중 기초필터링을 통과한 종목들을 유니버스로 하고, 섹터 요건과 배당 필터를 통과한 종목들을 대상으로 시가총액이 높은 순으로 10종목을 선정. 최종선정된 10종목을 현금 배당금 총액 가중으로 비중을 결정하여 구성한 지수입니다."
투자유의사항,"- 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. - 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. - 상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
