항목,내용
한글명,SOL 미국배당다우존스TR
영문명,SOL US Dividend Equity TR
표준코드,KR7493420004
종목코드,493420
상장일,2024-10-08
펀드형태,수익증권형
기초지수명,Dow Jones U.S. Dividend 100 Index(TR)
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"NH투자증권, 메리츠증권, 미래에셋증권, 삼성증권, 신한투자증권, 키움증권, 한국투자증권"
총보수(%),0.05
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매 1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (전략) / (-) (배당) / (-)
기본 정보,"이 투자신탁은 법 시행령 제 92조 2항제 4호에서 규정하는 주된 투자대상자산으로 하며 S&P Dow Jones Indices가 산출하는‘Dow Jones U.S. Dividend 100 Index(Total Return)’로 미국 주식 중 일관된 배당금 지급을 하고 있는 펀더멘털이 강한 대표 종목 100개에 분산 투자하는 전략의 지수를 기조지수로 하여 기조지수 수익률의 정배수를 추적하는 것을 목표로 하는 상품입니다. Dow Jones U.S. Dividend 100 Index(TR)은 미국 주식 중 일관된 배당금 지급을 하고 있는 펀더멘털이 강한 대표 100개에 분산 투자하는 전략의 지수입니다(세부적으로는 최소 10년의 기간동안 연속적으로 배당을 지급했던 기업들 중 현금흐름, ROE (자기자본수익률), 배당수익률과 5년 배당성장률을 기준으로 상위 100개 종목을 선별). 채권부문 지수인 KRX 미국채 10년지수(순가격지수, PR)는 미국채 10년물 중 최근 발행 종목 순으로 총 3종목 선정하는 지수입니다. 해당 기초지수가 추구하는 전략은 연평균 약 3% 이상의 배당수익률과 안정적인 기업들의 주가 흐름을 바탕으로 장기 투자에 있어서 적합한 전략이며, 시장 대비 높은 배당수익률을 나타내는 종목들에서 발생하는 배당금을 재투자하여 스노우볼 효과를 기대할 수 있는 전략상품인 만큼, 당사는 동 지수 기반의 Total Return ETF를 출시하고자 합니다. 현재 동일 기초지수 PR(Price Return) 기반의 ETF가 4종 상장되어 있으나, 모두 월배당 상품들로, 해당 ETF는 TR(Total Return) 유형의 기초지수를 사용하여 월배당하지 않고 재투자함에 따라 기존 상품과 차별적인 상품이 될 것으로 기대하고 있습니다. 최근 미국의 실업률 증가, 이에 따른 경기 침체 우려가 부각되면 시장의 변동성을 확대하고 있으나, 본격적인 경기 침체로 이어지기 보다는 미 연준의 금리 인하에 당위성을 부과하는 계기로 작용될 전망입니다. 또한 최근 배당 상품의 특성을 고려해 본다면 퇴직연금을 포함한 여러 절세 계좌에서 장기적인 투자 성과 제고를 목적으로 투자 활용도가 높습니다. 이에 Total Return 전략 수단에 대한 니즈가 빠르게 확대되고 있어 중장기적인 호흡에서 복리 투자효과를 추구하는 투자자들에게 전략적인 상품이 될 수 있을 것으로 판단됩니다. 해당 ETF투자의 경우 1주당 10,000원(최초 설정시점 기준)으로 투자를 할 수 있습니다. 설정단위는 100,000좌이며, 현물설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
투자유의사항,"이 투자신탁은 투자 원리금 전액이 보장 또는 보호되지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자의 결정과 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자의 결정 및 투자손실에 대하여 책임을 지지 아니합니다. 또한, 이 투자신탁은 예금자보호법에 따라 보호되지 않습니다. 이 투자신탁은 해외증권시장에 상장되어 거래되는 주식에 주로 투자하기 때문에 동주식 및 채권의 가격변동으로 인한 손실위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될수 있습니다. 파생상품(선물, 옵션)은 작은 증거금으로 거액의 결제가 가능한 지렛대효과(Leverage 효과)로 인하여 기초자산에 직접 투자하는 경우에 비하여 훨씬 높은 위험에 노출될 수 있습니다. 특히, 옵션매도에 따른 이론적인 손실범위는 무한대로 신탁재산의 큰 손실을 초래할 우려가 있습니다. 이 투자신탁은 해외투자로 인한 환율변동위험에 대해 환율변동위험 제거를 위한 환헤지 전략을 기본적으로 실시하지 않을 계획이므로 환율변동에 따른 위험에 노출되어 있습니다. 이 투자신탁은 해외특정국가(미국)의 주식과 관련된 파생상품 등에 주로 투자하기 때문에 특정국가의 시장, 정치 및 경제상황 등에 따른 위험에 더 많이 노출이 되어 있으며, 이는 일반적으로 해외주식시장 전체에 투자하는 글로벌 주식형 투자신탁보다 더 높은 위험을 부담할 가능성이 높습니다 그리고 정부 정책 및 제도의 변화로 인해 자산가치의 손실이 발생할 수있고 외국인에 대한 투자제한, 조세제도변화 등의 정책적 변화 및 사회전반적인 투명성 부족으로 인한 공시자료의 신뢰성 등의 위험도 있습니다. 또한, 투자국가의 세법에 의한 배당소득세, 양도소득세 등이 부과될 수 있으며, 향후 특정 외국의 세법 변경으로 높은 세율이 적용될 경우 세후 배당소득, 세후 양도소득 등이 예상보다 감소할 수 있습니다. 이 투자신탁은 기초지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 투자신탁 보수, 지수사용료, 매매수수료 등 관련 비용의 지출, 편입한 ETF 및 파생상품 등으로 기초지수와의 괴리 발생, 현물 구성종목과 기초지수와의 괴리, 환율변동 등으로 인하여 기초지수의 변동률과 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 따라서 이 투자신탁의 수익률과 추적대상지수의 수익률이 동일하거나 유사할 것을 전제로 하는 투자자는 당해 추적오차로 인하여 예상하지 못한 손실을 실현할 수도 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.soletf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
