항목,내용
한글명,ACE 국고채3년
영문명,ACE TB
표준코드,KR7114460009
종목코드,114460
상장일,2009-07-31
펀드형태,수익증권형
기초지수명,KTB index(시장가격)
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"대신증권, 대우증권, 동부증권, 우리투자증권, 한국투자증권"
총보수(%),0.15
회계기간,"매년 6월, 12월의 분배금 지급기준일 제2영업일 전일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"이자지급일(3,6,9,12월의 10일) 전 영업일. 영업일이 아닌 경우 실제 이자수령일(이자지급일 : 토요일→직전일, 공휴일 or 일요일→익일)"
홈페이지,http://www.kindexetf.com
http://www.kindexetf.com,http://www.kindexetf.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (-) (중기) / (-)
기본 정보,"1좌당 순자산가치의 변동률을 기초지수인 KTBINDEX(시장가격)의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다. 한국거래소와 KIS채권평가(주)가 산출하는 KTBINDEX(시장가격) (Korea Treasury Bond Index Gross Price Index)는 국채 3년 선물의 최근월물 3종목(국고채 3년물 2종목, 국고채 5년물 1종목)을 구성종목으로 하여 산출되는 지수입니다. 구성종목의 비중은 액면금액 동일비중 방식을 적용하여 산출되며, 정기변경일은 매 3개월 국채 3년 선물시장의 최근월물 최종거래일에 변경된 종목으로 지수가 산출될 수 있도록 정기적으로 변경됩니다. 이 투자신탁은 기초지수인 KTB Index(시장가격)를 구성하고 있는 모든 종목(국채 3년 선물의 최근 월물 바스켓 3종목)애 투자하는 것을 원칙으로 합니다. 다만, 집합투자업자가 추적오차의 최소화 등을 위하여 필요하다고 판단하는 경우 국채 3년 선물 등의 파생상품에 투자할 수도 있으며, 신규 편입 예정종목에도 투자할 수 있습니다 기초지수에 대한 자세한 내용은 KIS채권평가(주) 홈페이지(http://www.kispricing.co.kr)를 통해 확인하시기 바랍니다."
투자유의사항,"이 투자신탁의 수익률은 다양한 이유(투자신탁 운용과 관련된 제반 비용, 채권에서 발생하는 이자로 인한 재투자 문제 등)로 기초지수인 KTB Index(시장가격)의 수익률과 괴리(추적오차)가 발생할 수 있습니다. 이 경우 자산운용회사는 추적오차를 최소화하기 위하여 투자신탁 관련비용의 최소화, 추적오차를 감안한 편입 종목수 조정 등의 보완방안을 실행할 예정이나, 불가피하게 최소한의 추적오차가 발생할 가능성이 있음을 유의하셔야 합니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kindexetf.com 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
