항목,내용
한글명,히어로즈 종합채권(AA-이상)액티브
영문명,HEROES Total Market Bond Active
표준코드,KR7454780008
종목코드,454780
상장일,2023-04-11
펀드형태,수익증권형
기초지수명,KIS 종합 채권시장지수(AA-이상)(총수익지수)
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"미래에셋증권, 키움증권"
총보수(%),0.025
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (혼합) / (-) (중기) / (-)
기본 정보,"1. 이 투자신탁은 국내 채권을 주된 투자대상으로 하며, KIS자산평가에서 산출 및 발표하는 “KIS 종합 채권시장지수(AA-이상)(총수익지수)”를 비교지수로 하여 이 투자신탁의 순자산가치의 변화가 비교지수의 변화를 초과하도록 운용함을 목적으로 하는 액티브 상장지수 집합투자기구입니다. 2. 이 투자신탁은 투자목적 달성을 위해 주로 신용등급 AA-이상의 국채, 지방채, 특수채, 통안채, 은행채, 기타 금융채, 회사채 등 국내 발행 채권의 다양한 섹터에 분산 투자할 예정이며, 비교지수 구성종목 이외의 종목 및 파생상품 등에도 투자할 수 있습니다. 3. 이 투자신탁은 비교지수인 ‘KIS 종합 채권시장지수(AA-이상)(총수익지수)’와 유사한 듀레이션 수준으로 운용할 예정이며, 향후 국내외 경제지표 및 통화정책 등의 시장 상황에 따라 듀레이션을 탄력적으로 조절할 수 있습니다. 비교지수 대비 초과성과 달성을 위하여 듀레이션, 상대가치, 슬로프, 크레딧, 파생 등의 전략을 활용할 예정입니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
