항목,내용
한글명,ACE 글로벌빅파마
영문명,ACE Global Big Pharma
표준코드,KR7497510008
종목코드,497510
상장일,2024-11-19
펀드형태,수익증권형
기초지수명,Solactive Global Big Pharma Index (Price Return)
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"메리츠, 키움, 하나, 한국"
총보수(%),0.3
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매 1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일(단, 회계기간 종료일이 영업일이 아닐 경우 그 직전 영업일)"
홈페이지,http://www.aceetf.co.kr
http://www.aceetf.co.kr,http://www.aceetf.co.kr
기초 시장,(해외) (글로벌) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"· 이 투자신탁은 Solactive AG가 발표하는 “Solactive Global Big Pharma PR”을 기초지수로하여 1좌당 순자산가치의 변동률을 기초지수와 유사하도록 투자신탁 재산을 운용함을 목적으로 합니다. · Solactive AG가 발표하는 “Solactive Global Big Pharma Index PR”은 글로벌 제약바이오 시장을 대표하는 빅파마 기업 15개 종목에 투자하는 상품으로, 미국과 스위스 상장 기업 중 1) 블록버스터 의약품을 보유한 기업을 선별하고 2) 기업 유동시가총액과 기업별 의약품 예상 매출 성장률이 큰 상위 15개 종목을 선정합니다. 지수 비중은 시가총액에 의약품 예상 매출성장률을 가중한 수정 시가총액 가중방식으로 구성합니다."
투자유의사항,· 이 투자신탁은 환헤지를 실행하지 않을 계획이므로 환율변동 위험에 노출되어 있음에 유의하시기 바랍니다. · 이 투자신탁은 한정된 투자대상에 주로 투자함으로써 좀더 분산 투자된 다른 투자신탁에 비해 더 큰 투자원금액 손실이 발생할 수 있습니다. · 상품에 대한 자세한 내용은 운용사 홈페이지 (http://www.aceetf.co.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다.
