항목,내용
한글명,KOSEF 미국방어배당성장나스닥
영문명,KOSEF US LVDA NASDAQ
표준코드,KR7373790005
종목코드,373790
상장일,2020-12-24
펀드형태,수익증권형
기초지수명,Nasdaq US Low Volatility Dividend Achievers Index
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"키움증권, NH투자증권"
총보수(%),0.4
회계기간,"최초설정일부터 당해연도 12월31일까지로 하며, 이후의 회계기간은 그 익일로부터 매년 12월31일가지로 함"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (전략) / (-) (배당) / (-)
기본 정보,"Nasdaq US Low Volatility Dividend Achievers Price Return 지수를 기초지수로 하여, 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률에 연동되도록 투자신탁재산을 운용합니다. NASDAQ에서 발표하는 10년이상 배당을 성장시킨 미국 상장기업을 추종하는 Nasdaq US Broad Dividend Achievers Index와 미국 대형주를 추종하는 Nasdaq US Large Cap Index에 속하는 종목들이 유니버스로 구성됩니다. 최근 1년 추적 변동성을 기준으로 하위 10개 섹터 선정 이후 추적 변동성에 역가중치를 부여하여 개별종목의 편입비중을 결정합니다."
투자유의사항,"이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이류로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
