항목,내용
한글명,HANARO 머니마켓액티브
영문명,HANARO Money Market Active
표준코드,KR7486830003
종목코드,486830
상장일,2024-07-16
펀드형태,수익증권형
기초지수명,KIS-NH Amundi MMF지수
추적배수,일반 (1)
자산운용사,엔에이치아문디자산운용(주)
지정참가회사(AP),"NH투자증권, KB증권, 미래에셋증권, 키움증권"
총보수(%),0.04
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,회계기간 종료일(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)
홈페이지,https://www.nh-amundi.com/hanaroetf/
https://www.nh-amundi.com/hanaroetf/,https://www.nh-amundi.com/hanaroetf/
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (혼합) / (-) (단기) / (-)
기본 정보,"KIS-NH-Amundi MMF지수를 비교지수로 하여 ETF의 순자산가치의 변화가 비교지수의 변화를 초과하도록 운용하는 액티브 ETF입니다. 잔존만기가 5개월 이하인 단기채, CP, 양도성예금증서 등에 투자하여 안정성과 유동성을 추구합니다. 또한, 안정적 초과 수익 실현을 위해 다음과 같은 다양한 전략을 수행할 예정입니다. 1) 듀레이션 전략: 기본적으로 비교지수의 듀레이션을 추종하면서 시장상황에 따라 비교지수 대비 보유채권의 듀레이션 조정 2) 수익률 곡선 전략: 수익률 곡선 분석을 통하여 만기 별 보유 수익률 차이를 분석하여 수익률이 상대적으로 높은 만기 구간에 투자 3) 섹터 및 종목선택 전략: 비교지수 대비 섹터 비중 조정, 유사 만기 중 상대적으로 높은 금리 종목 편입으로 초과수익 창출 4) 기타: 보유채권을 담보로 대차/대여 및 환매조건부 매도 등을 통한 추가적인 수익 확보, 국채 선물 매매를 통한 시장 대응 전략 등을 수행 KIS자산평가에서 산출, 발표하는 비교지수 KIS-NH-Amundi MMF지수는 KOFR(한국의 무위험지표금리, Korea Overnight Financing Repo Rate), CD91금리(금융투자협회), CP(기업어음,Commercial Paper), 발행잔액이 500억 이상이며 잔존만기가 5개월 이하인 국고, 통안, 지역개발채 및 국내 신용등급 AA- 이상의 단기 채권(보증회사채 및 ABS 미포함)을 바스켓 종목으로 구성하여 단기금융시장의 성과를 나타내는 지수입니다. 특징은 다음과 같습니다. ETF 비교지수: 잔존만기 5개월 이하 자산에 투자하여 단기금융시장의 성과를 나타내는 지수 짧은 듀레이션의 초단기형 지수: 듀레이션 0.16Y 내외의 초단기형 지수 신용등급이 우수한 종목을 바스켓으로 구성한 지수: 우수한 신용등급 종목으로 바스켓을 구성하여, 부도위험이 적고, 듀레이션이 짧아 시황에 따라 성과 변동이 크지 않음 대표성과 유동성이 우수한 바스켓 구성으로 구성한 Bellwether Index Target duration을 만족하면서 유동성이 우수한 종목으로 구성한 Bellwether Index"
투자유의사항,"이 ETF는 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 보호되지 아니하며, 원본이 보장되지 않습니다. 따라서, 투자원본의 전부 또는 일부 손실 위험이 존재하며 투자금액의 손실내지 감소의 위험은 전적으로 투자자가 부담합니다. 집합투자업자, 판매회사 등 어떠한 당사자도 투자손실에 대하여 책임을 지지 아니합니다. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. 상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.hanaroetf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
