항목,내용
한글명,1Q K200액티브
영문명,1Q K200 Active
표준코드,KR7451060008
종목코드,451060
상장일,2023-01-31
펀드형태,수익증권형
기초지수명,코스피 200
추적배수,일반 (1)
자산운용사,하나자산운용(주)
지정참가회사(AP),"하나증권, NH투자증권, 키움증권, KB증권, 메리츠증권"
총보수(%),0.18
회계기간,가. 최초회계기간: 투자신탁의 최초설정일로부터 2023년 12월 31일까지. 나. 2024년 1월 1일 이후: 1월 1일부터 12월 31일까지 매 1년
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.ubs-hana.com
http://www.ubs-hana.com,http://www.ubs-hana.com
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"· 이 투자신탁은 코스피200지수를 비교지수로 하여 비교지수 대비 초과성과를 추구하는 Active ETF입니다. · 코스피 200지수는 유가증권시장을 대표하는 지수로서 1994년 6월부터 산출 및 발표되었으며 선물, 옵션, ETF 등 다양한 금융상품의 기초지수로 활용되고 있습니다. · 코스피200지수는 6월, 12월 두 차례에 걸쳐 정기변경을 실시하며, 해당 정기변경은 종목 편입/편출, 유동비율 변경 등을 수반합니다."
투자유의사항,"· 이 투자신탁은 1좌당 순자산가치의 일간변동률이 비교지수 일간성과와 유사하도록 추종하는 것을 목표로 하는 기존의 Passive ETF와 달리, 비교지수 대비 초과성과를 얻는 것을 목표로 하는 Active ETF입니다.  · 이 투자신탁은 담당 펀드매니저의 정량적 및 정성적 분석에 기반하여 포트폴리오를 구성하고 시장 대비 초과수익을 추구하기 때문에 비교지수 대비 낮은 수익률을 기록할 위험을 내포하고 있습니다. · 상품에 대한 자세한 내용은 자산운용사 홈페이지 (http://www.ubs-hana.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
