항목,내용
한글명,KODEX 국고채3년
영문명,KODEX TBOND
표준코드,KR7114260003
종목코드,114260
상장일,2009-07-29
펀드형태,수익증권형
기초지수명,MKF 국고채지수(총수익)
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"굿모닝신한증권(주), 대신증권(주), 대우증권(주), 동부증권, 동양종합금융증권(주), 메리츠증권(주), 미래에셋증권(주), 삼성증권(주), 우리투자증권(주), 유진투자증권(주), 하이투자증권(주), 한국투자증권(주), 현대증권(주), HMC투자증권(주), KB투자증권(주), KTB증권(주), SK증권(주)"
총보수(%),0.15
회계기간,매년 6월 11일부터 1년간
과세유형,배당소득세(보유기간과세)
분배금 지급일,"이자지급일(3,6,9,12월의 10일)로부터 3영업일(이자지급일이 금융기관 휴무일인 경우 이자지급일의 직전 영업일이 이자지급일이 되며 이자지급일이 법정 공휴일인 경우 이자지급일의 다음 영업일이 이자지급일이 됨)"
홈페이지,http://www.kodex.com
http://www.kodex.com,http://www.kodex.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (-) (중기) / (-)
기본 정보,"1좌당 순자산가치의 변동률을 기초지수인 MKF 국고채 지수(총수익)의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다. FnGuide, 매일경제신문, 금융투자협회가 산출하는 MKF 국고채 지수(총수익)는 한국거래소에 상장된 3년 국채 선물 최근월물의 기초자산이 되는 국고채권 3종목으로 구성되며, 종목교체 및 편입주기의 리밸런싱은 연 4회 3,6,9,12월의 각 10일 (비 영업일인 경우 익일)에 시행됩니다."
투자유의사항,"기초지수의 구성종목수가 3종목에 불과하여 기초지수를 추적함에 있어 기초지수의 구성종목 변경시 교체매매가 원활하지 않은 경우 기초지수에 대한 추적오차가 확대될 수 있습니다. 거래가 부족하여 개인 수익자가 원하는 가격과 수량에 매도하지 못할 경우 개인 수익자는 현금화가 어려워질 수도 있으며, 이론 인해 기대하지 않은 손실이 발생할 수 있습니다. 투자신탁보수, 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수와 동일한 수익률이 실현되지 않을 가능성이 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kodex.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
