항목,내용
한글명,히어로즈 25-09 미국채권(AA-이상)액티브
영문명,HEROES 25-09 US Term Bond Active
표준코드,KR7467620001
종목코드,467620
상장일,2023-10-17
펀드형태,수익증권형
기초지수명,USD AA3 Above Select September 2025 Maturity Index(Total Return)
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"메리츠증권, 신한투자증권, 키움증권, 현대차증권"
총보수(%),0.29
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지이며 신탁계약 해지시에는 투자신탁 회계기간 초일부터 신탁계약의 해지일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"3월, 6월, 9월, 12월 10일의 전 영업일(국고채 이자지급일의 전영업일). 다만, 해당하는 이자지급일이 영업일이 아닌 경우 실제 이자수령일을 이자지급일"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(해외) (북미) (미국)
기초 자산,(채권) (혼합) / (-) (단기) / (-)
기본 정보,"1. 이 투자신탁은 채권을 주된 투자대상으로 하며, USD AA3 Above Select September 2025 Maturity Index”를 비교지수로 하여 1좌당 순자산가치의 변동률이 비교지수의 변동률을 초과하도록 운용하는 것을 목적으로 합니다. 2. 이 투자신탁은 액티브상장지수펀드로서 비교지수의 구성종목인 채권에 투자신탁재산의 60% 이상을 투자하며, 주로 만기가 2025년 8월~10월에 도래하는 신용등급 AA-이상, 시가총액 USD 300,000,000 이상의 미국채, 미국달러표시로 발행국가가 한국 또는 미국인 회사채, 특수채, 은행채, 기타금융채 종목 투자할 예정입니다. 3. 이 투자신탁의 2025년 9월 30일까지를 존속기한으로 하여 운용하는 만기채권형이며, 이 투자신탁의 운용목표 달성을 위하여 비교지수의 YTM(만기수익률), 듀레이션 등과 유사한 수준으로 운용할 예정입니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
