항목,내용
한글명,KODEX 국채선물3년인버스
영문명,KODEX 3Y F-KTB INVERSE
표준코드,KR7292770005
종목코드,292770
상장일,2018-04-13
펀드형태,수익증권형
기초지수명,F-KTB 인버스지수
추적배수,1X 인버스 (-1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"메리츠종합금융증권, KB증권"
총보수(%),0.05
회계기간,(1) 최초회계기간 : 최초설정일로부터 2017년 12월 31일까지 (2) 상기 회계기간 경과 후의 회계기간 : 2018년 1월 1일부터 매 1년 간
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.kodex.com
www.kodex.com,www.kodex.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (-) (중기) / (-)
기본 정보,"이 투자신탁의 기초지수는 국채선물지수(F-KTB)이나 이 투자신탁은 기초지수의 일간변동률의 음(陰)의 1배수의 추종을 목표로 합니다. 다만, 집합투자업자는 이 기초지수가 기초지수 산출기관의 상황, 지수에 포함된 종목의 매매가능성 및 기타 운용에 영향을 줄 수 있는 운용환경 등의 변화로 인해 기초ㅁ지수로서 적합하지 않다고 판단되거나 기초지수로서 적합하지 않는 상황이 발생할 것으로 판단되는 경우 관련된 다른 지수로 변경할 수 있습니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"상장폐지위험 유가증권시장 상장규정 제116조의 상장폐지기준에 해당되거나 공익과 투자자보호를 위하여 증권시장이 이 투자신탁의 수익증권 상장폐지가 필요하다고 인정하는 경우 이 투자신탁은 상장폐지하여야 합니다. 개인수익자의 투자자금 회수 곤란 위험 개인수익자는 보유 수익증권을 증권시장에서 매도하는 방법으로만 현금화가 가능합니다. 즉, 개인투자자는 보유 수익증권을 판매회사 또는 지정참가회사에 환매신청할 수 없습니다. 이는 개인투자자가 부담하여야 할 과세표준을 확인할 수 없는 한계에서 기인한 것입니다. 따라서, 증권시장에서 이 투자신탁 수익증권의 거래가 부족하여 개인 수익자가 원하는 가격에 원하는 수량을 매도하지 못할 경우에는 그 개인수익자가 보유한 이 투자신탁 수익증권의 현금화가 어려워질 수도 있으며, 이로 인하여 기대하지 아니한 손실이 발생할 수도 있습니다. ※ 법인수익자의 경우 보유 수익증권을 증권시장에서 매도하거나 이 투자신탁 수익증권을 설정단위 또는 그 정배수로 판매회사 또는 지정참가회사에 환매 신청할 경우에는 판매회사 또는 지정참가회사에서 환매가 가능합니다. 추적오차 발생위험 이 투자신탁은 국채선물지수(F-KTB)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률의 음(陰)의 1배수로 연동하는 것을 목적으로 하고 있으나, 투자신탁 보수, 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수의 일간 변동률의 음(陰)의 1배수와 동일한 수익률이 실현되지 아니할 가능성이 있으며 이로 인한 추적오차가 발생할 수 있습니다. 따라서 이 투자신탁의 수익률과 기초지수의 일간변동률의 음(陰)의 1배수가 동일할 것을 전제로 하는 투자는 당해 추적오차로 인하여 예상하지 못한 손실을 실현할 수도 있습니다.또한 국채현물의 대차매도 및 보유현금의 통안채 운용으로 국채현물 시장 등의 급격한 변동시에는 일시적으로 추적오차가 확대될 수도 있습니다. 파생상품 롤오버(Roll-Over)위험 이 투자신탁은 국채선물지수(F-KTB)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률의 음(陰)의 1배수로 연동하는 것을 목적으로 하며, 그 목적을 달성하기 위하여 국채선물의 매도 등의 방법을 활용할 계획입니다. 다만, 선물은 현물과는 달리 만기일이 있기때문에 차기(次期) 선물으로 다시 재투자하여야 하는데 재투자가격이 만기일의 만기상환금액과 일치하지 않을 위험(이를 롤오버[Roll over]위험이라 합니다)이 있습니다. 이러한 이유 등으로 투자목적이 달성되지 아니할 위험이 있습니다. ETF 손익구조 오차위험 이 투자신탁은 국채선물지수(F-KTB)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률의 음(陰)의 1배수로 연동하여 투자신탁재산을 운용함을 목적으로 하고 있으므로, 시간이 경과함에 따라 투자신탁에 영향을 주는 다양한 요인에 의해 누적적으로는 국채선물지수(F-KTB)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률의 음(陰)의 1배수를 추적하지 못할 수 있습니다. 즉, 일시적으로 또는 지속적으로 이 투자신탁과 국채선물지수(F-KTB)의 누적수익률간의 양의 상관관계가 나타날 수도 있습니다. 금리 민감도 위험 이 투자신탁은 단기물에 투자하는 채권형 펀드에 비하여 금리 민감도가 높으므로 투자자의 예상과 달리 금리가 인하되는 경우에는 보다 큰 손실이 발생될 수 있습니다."
