항목,내용
한글명,KCGI 미국S&P500 TOP10
영문명,KCGI US S&P500 TOP10
표준코드,KR7483570008
종목코드,483570
상장일,2024-05-28
펀드형태,수익증권형
기초지수명,S&P500 Top10 25% Capped Index(PR)
추적배수,일반 (1)
자산운용사,케이씨지아이자산운용(주)
지정참가회사(AP),"대신증권, 한화투자증권, 신한투자증권, 삼성증권, NH투자증권"
총보수(%),0.36
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매 1월, 4월, 7월, 10월의 마지막 영업일 및 회계기간 종료일(회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kcgietf.com/
http://www.kcgietf.com/,http://www.kcgietf.com/
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (규모) / (-) (대형주) / (-)
기본 정보,"상장지수펀드(ETF)는 S&P Dow Jones Indices 지수사업자가 상장한 “S&P 500 Top 10 25% Capped Index(원화환산기준)”를 기초 지수로 하는 상장지수펀드(ETF)로 투자목적 달성을 위해서 투자신탁 자산총액의 60% 이상을 주식에 투자함. 다만, 동 투자신탁은 해외 주식에 투자하면서도 환헤지를 하지 않으므로 1 좌당 순자산가치는 기초지수의 원화 환산 수익률에 연동됩니다."
투자유의사항,"이 투자신탁은 투자 원리금 전액이 보장 또는 보호되지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자의 결정과 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자의 결정 및 투자손실에 대하여 책임을지지 아니합니다. 또한, 이 투자신탁은 예금자보호법의 적용을 받는 은행예금과 달리 은행 등에서 매입한 경우에도 예금자보호를 받지 못합니다. 이 투자신탁은 미국 주식시장의 대표지수인 'S&P 500' 구성종목 중 시가총액 상위 일부 종목에 집중적으로 투자합니다. 이처럼 한정된 투자대상에 집중하여 투자함으로써 분산투자 된 다른 투자신탁에 비해 더 큰 투자원금액 손실이 발생할 수 있습니다. 특히 상대적으로 큰 비중으로 보유하고 있는 자산에 대하여 시장상황 또는 환경변화에 불리하게 영향을 받아 그 자산의 가치가 더 하락하는 경우에는 그렇지 않은 투자신탁에 비해 투자자는 투자원금액의 더 큰 손실을 입을 수 있습니다."
