항목,내용
한글명,HANARO 글로벌생성형AI액티브
영문명,HANARO Global Generative AI Active
표준코드,KR7461340002
종목코드,461340
상장일,2023-07-11
펀드형태,수익증권형
기초지수명,Solactive United States Technology 100 Index(Price Return)
추적배수,일반 (1)
자산운용사,엔에이치아문디자산운용(주)
지정참가회사(AP),"키움증권, NH투자증권, 미래에셋증권"
총보수(%),0.6
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.hanaroetf.com
http://www.hanaroetf.com,http://www.hanaroetf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"본 투자신탁은 유가증권시장 상장규정 제113조에 따른 액티브상장지수펀드로서 상장지수펀드 순자산가치의 변화가 지수 변화를 초과하도록 운용하는 것을 목표로 합니다. 투자 목적의 달성을 위해 인공지능산업의 발전에 따라 수혜가 기대되는 글로벌 종목에 종목에 분산투자할 예정이며, 주로 미국 뉴욕 및 나스닥 거래소에 상장된 종목에 투자할 예정입니다. SOLACTIVE 발표하는 “Solactive United States Technology 100 Index (PR)”를 참조지수로 하는 액티브 상장지수투자신탁으로서, 1좌당 순자산가치의 일간변동률을 참조지수의 변동율을 초과하도록 운용합니다."
투자유의사항,"이 ETF는 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 보호되지 아니하며, 원본이 보장되지 않습니다. 따라서, 투자원본의 전부 또는 일부 손실 위험이 존재하며 투자금액의 손실내지 감소의 위험은 전적으로 투자자가 부담합니다. 집합투자업자, 판매회사 등 어떠한 당사자도 투자손실에 대하여 책임을 지지 아니합니다. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. 상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.hanaroetf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
