항목,내용
한글명,KODEX 글로벌비만치료제TOP2 Plus
영문명,KODEX Global Obesity Treatment TOP2 Plus
표준코드,KR7476070008
종목코드,476070
상장일,2024-02-14
펀드형태,수익증권형
기초지수명,iSelect 글로벌 비만치료제TOP2 Plus 지수(PR)
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"삼성증권, 메리츠증권, 키움증권, 미래에셋증권, 한국에스지증권, 한국투자증권, 하나증권, 신한투자증권, NH투자증권"
총보수(%),0.45
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.kodex.com
www.kodex.com,www.kodex.com
기초 시장,(해외) (글로벌) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 해외 주식을 주된 투자대상으로 신탁재산의 60% 이상 투자하여 1좌당 순자산가치의 변동률을 기초지수인 ‘iSelect 글로벌 비만치료제TOP2 Plus 지수’의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
