항목,내용
한글명,BNK 미래전략기술액티브
영문명,BNK Future Strategic Technology Active
표준코드,KR7457930006
종목코드,457930
상장일,2023-06-20
펀드형태,수익증권형
기초지수명,iSelect 미래전략기술 지수 (PR)
추적배수,일반 (1)
자산운용사,비엔케이자산운용(주)
지정참가회사(AP),"BNK투자증권, KB증권, NH투자증권, 미래에셋증권, 키움증권"
총보수(%),0.495
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.bnkasset.co.kr
www.bnkasset.co.kr,www.bnkasset.co.kr
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 NH투자증권(주)이 산출 및 발표하는 ‘iSelect 미래전략기술 지수’를 비교지수로 하여 투자신탁의 순자산가치의 변화를 비교지수 대비 초과하도록 신탁재산을 운용하는 것을 목적으로 하는 액티브 주식 상장지수집합투자기구입니다. ‘iSelect 미래전략기술 지수’는 과학기술정보통신부가 발표한 ‘12대 국가전략기술’을 참고하여 NH투자증권(주)이 선정한 미래전략기술 유관 산업과 관련된 종목으로 구성된 지수로서, 유관 산업을 미래전략기술 하위 산업으로 선정한 후 기초적인 투자 적정성 기준을 충족하는 종목 중 텍스트마이닝 기반의 키워드 필터링 기술 등을 활용해 최종 구성종목을 선정합니다. ETF의 설정단위는 50,000좌이며, 현물 설정방식을 이용하여 자산을 구성합니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래가 가능합니다."
투자유의사항,"투자신탁은 국내주식을 주된 투자대상으로 하여 비교지수 대비 초과성과를 추구합니다. 따라서 비교지수와 유사한 수익률 실현을 목적으로 하는 기존의 ETF와 달리, 비교지수 대비 높은 추적오차가 발생할 수 있습니다. 이러한 추적오차는 시장의 변동에 적극적으로 대응하여 비교지수 대비 높은 성과를 추구하는 이 집합투자기구의 투자목적에 따른 운용상의 결과이며, 지수와의 괴리율은 매일 공고되는 추적오차율 공고를 통해 확인하실 수 있습니다. 다만, 이 집합투자기구는 비교지수와의 상관계수를 0.7 이상으로 관리하여 비교지수와의 성과괴리를 일정수준 이내로 관리할 예정입니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지 (www.bnkasset.co.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
