항목,내용
한글명,WON 미국S&P500
영문명,WON US500
표준코드,KR7444490007
종목코드,444490
상장일,2022-10-06
펀드형태,수익증권형
기초지수명,S&P 500
추적배수,일반 (1)
자산운용사,우리자산운용 주식회사
지정참가회사(AP),"메리츠증권, 엔에이치투자증권, 삼성증권"
총보수(%),0.05
회계기간,"매년 1월 1일부터 12월 31일까지로 하되, 최초 회계기간(2022년) 최초설정일로부터 당해연도 12월 31일"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.wooriam.kr
www.wooriam.kr,www.wooriam.kr
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"- 이 투자신탁은 주식을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로하며, 1좌당 순자산가치의 일간변동률을 “S&P 500 Index(PR)(원화환산)”의 1배수와 유사하도록 투자신탁 재산을 운용함을 목적으로 합니다. ■ 추적대상지수(기초지수) : S&P 500 Index(PR)(원화환산)* 100% - ‘S&P 500 Index(PR)지수’는 미국 주식시장에 상장된 500개의 우량 기업에 유동시가총액 가중으로 투자하는 지수로, 해당 지수에 편입 된 종목들의 가치의 합이 미국 주식시장의 80% 가량을 대표합니다. 해당 지수는 개별 주식을 유동시가총액에 비례하여 보유, 미국경제 성장을 각 기업 및 산업의 규모에 비례하여 따라갈 수 있는 지수입니다. - 이 투자신탁은 환헤지를 하지 않으므로 환율 변동위험에 노출되며, 이 투자신탁의 1좌당 순자산가치는 기초지수의 원화 환산후 수익률에 연동하게 됩니다."
투자유의사항,"- 이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 예금보험공사가 보호하지 아니하며 원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자손실에 대하여 책임을 지지 아니합니다. - 이 투자신탁은 해외투자로 인한 환율변동위험에 대해 환율변동위험 제거를 위한 환헤지 전략을 기본적으로 실시하지 않을 계획이므로 환율변동에 따른 위험에 노출되어 있습니다. - 이 투자신탁은 기초지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 장외파생상품 매매에 따른 비용, 투자신탁 보수, 지수사용료, 매매수수료 등 관련 비용의 지출, 편입한 ETF와 기초지수와의 괴리 발생, 현물 구성종목과 기초지수와의 괴리, 환율변동 등으로 인하여 기초지수의 변동률과 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 따라서 이 투자신탁의 수익률과 추적대상지수의 수익률이 동일하거나 유사할 것을 전제로 하는 투자자는 당해 추적오차로 인하여 예상하지 못한 손실이 있을수 있습니다. - 유가증권시장 상장 규정에 따라 ETF(상장일부터 1년이 경과하지 아니한 ETF는 제외)의 1좌당 순자산가치의 일간변동률과 ETF 비교지수 일간변동률의 상관계수가 0.9 미만이 되어 3개월간 계속되는 경우 상장폐지 대상이 되므로 이에 해당하지 않도록 ETF와 비교지수의 상관계수를 관리할 예정입니다. - 이 투자신탁은 기초지수 수익률과 유사한 성과 달성을 목표로 하기 때문에 시장수익률 하락에 직접적으로 영향을 받습니다. 즉, 시장수익률 상승 혹은 하락 시 수익률하락 방어를 목적으로 하는 포트폴리오 조정과 같은 별도의노력을 수행하지 않습니다. - 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하고 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없습니다. 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. - 법인은 지정참가회사에 설정단위(CU: Creation Unit)인 50,000좌 또는 그 정배수로만 설정 또는 환매 청구가 가능하며, 집합투자업자의 승인에 의하여 효력이 발생합니다. 그러나 개인은 한국거래소 유가증권시장에서 장중 매매를 통하지 않고서는 수익증권의 매수 또는 환매가 불가능합니다. 따라서, 개인투자자는 원하는 가격에 원하는 수량을 매도하여 현금화하는데 어려울 수가 있습니다. - 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지 (http://wooriam.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어 보시기 바랍니다."
