항목,내용
한글명,HANARO 미국애그테크
영문명,HANARO US Agtech
표준코드,KR7472490002
종목코드,472490
상장일,2023-11-28
펀드형태,수익증권형
기초지수명,iSelect 미국 애그테크 지수 (PR)
추적배수,일반 (1)
자산운용사,엔에이치아문디자산운용(주)
지정참가회사(AP),"NH투자증권, 메리츠증권, 미래에셋증권"
총보수(%),0.4
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.hanaroetf.com
http://www.hanaroetf.com,http://www.hanaroetf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 NH투자증권이 발표하는 “iSelect 미국애그테크 지수(US agtech Index)”를 기초지수로 하는 상장지수집합투자기구로서 기초지수의 일간 수익률 변동과 유사한 수익을 추구하는 것을 목푤 합니다. iSelect 미국 애그테크 지수(PR)는 미국 나스닥 거래소, 뉴욕 거래소 상장종목 중 애그테크, 스마트 농업 대표기업 15종목을 구성종목으로 하는 지수입니다. 최근 가속화되는 환경오염, 기후변화, 소비패턴의 변화에 대응하기 위해 전통적인 농업에도 새로운기술의 필요성이 대두되고 있으며, 이러한 새로운 농업의 중심에 애그테크(AgTech)가 주목받고 있습니다. 첨단 기술과 농업이 결합된 애그테크 분야는 환경오염, 식량부족, 물부족, 탄소배출과 같은 문제를 해결 또는 완화 하기 위해 발전하고 있으며 사회적 요구가 증가하면서 투자가 활발해지고 시장도 확대되고 있습니다. 본 투자신탁은 미국 애그테크를 선도하는 종목으로 포트폴리오를 구성하여, ETF투자자들에게 차별화된 투자기회를 제공하고자 합니다."
투자유의사항,"이 ETF는 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 보호되지 아니하며, 원본이 보장되지 않습니다. 따라서, 투자원본의 전부 또는 일부 손실 위험이 존재하며 투자금액의 손실내지 감소의 위험은 전적으로 투자자가 부담합니다. 집합투자업자, 판매회사 등 어떠한 당사자도 투자손실에 대하여 책임을 지지 아니합니다. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. 상품에 대한 자세한 내용은 집합투자업자인 NH-Amundi 자산운용의 인터넷 홈페이지(http://www.hanaroetf.com ) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
