항목,내용
한글명,SOL 2차전지소부장Fn
영문명,SOL SecondaryBattery Materials Equipment
표준코드,KR7455860007
종목코드,455860
상장일,2023-04-25
펀드형태,수익증권형
기초지수명,FnGuide 2차전지 소부장 지수(PR)
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"유진투자증권, 한국투자증권, 신한투자증권, 키움증권"
총보수(%),0.45
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,비과세
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 법 시행령 제 92조 2항제 4호에서 규정하는 주된 투자대상자산으로 하며 FnGuide가 산출하는‘FnGuide 2차전지 소부장 지수(PR)’로 국내 주식 시장에 상장되어 있는 2차전지 관련 소재, 부품, 장비 기업을 주요 구성종목으로 하고 있습니다. 기초지수는 유가증권시장, 코스닥 시장에 상장되어 있는 종목 중 기초 필터링 (시가총액 규모 1,000억원 이상, 일평균 거래대금 10억원 이상)을 통과한 기업 중 FICS (FnGuide Industry Classification Standard) Industry Group 기준 하드웨어, 소재, 디스플레이의 섹터 조건을 만족한 종목들을 기반으로 키워드 유사도를 산출한 지수로 세부적으로 양극재, 음극재, 전해질, 분리막, 2차전지첨가제, 2차전지부품, 2차전지장비, 리튬, 폐배터리리사이클링, 이외 이와 관련한 유의어를 산출하여 기업들의 공시, 애널리스트의 리포트를 토대로 유사도 스코어를 산출하여 최종적으로 20개 종목을 선별합니다. 친환경 기조가 이어지고 있는 가운데, 2차전지와 관련된 주식들의 관심이 점진적으로 높아지고 있는 상황 속에서 2차전지 산업 중에서도 소재와 부품, 장비에 초점을 맞춘 상품이 부재한 상황에서 보다 효율적인 투자 수단을 최초로 제공한다는데 상품의 의의가 있습니다. 전기차 시장에 대한 관심도가 높아지고 있는 가운데, 전기차의 핵심 동력을 담당하고 잇는 2차전지는 여러 전기차 부품 중에서도 가장 중요한 소재로 인식됩니다. 2차전지는 양극채, 음극재, 분리박, 전해액으로 구성되고 있으며(4대 핵심소재) 해당 소재들은 2차전지의 에너지용량, 출력, 안정성 등 배터리 성능에 직접적인 영향을 미치는 요소들임. 이들을 가공하고 조립할 수 있는 부품과 장비들 또한 2차전지 투자를 이행함에 있어 중요한 투자처로 인식되고 있습니다. 현재 국내 ETF 시장에 국내 2차전지 ETF를 추종하고 있는 ETF의 개수는 4개(레버리지 제외)가 상장되어 있습니다. 시장에 상장되어 있는 국내 2차전지 기업들을 추종하는 ETF들은 대형사 비중 특히 2차전지 완성 셀업체의 비중(LG에너지솔루션, 삼성SDI 등)이 높은 것으로 파악되는데, 이는 그간 상장되어있던 국내 2차전지 ETF들이 2차전지 소부장 관련 기업 주식들의 흐름을 뚜렷하게 투영하지 못했다는 한계점이 있는 것으로 파악됩니다. 2차전지 소부장 내에서도 소재의 중요도가 매우 높아지는 시점이라고 판단하고 있는데, 원재료 확보를 위한 기업들의 투자가 지속 이어지고 있는 시기이기도 합니다. 현재 국내를 비롯한 글로벌 2차전지 소재 기업들은 M&A, MOU 체결 등과 같은 다양한 루트를 활용해 원재료 확보에 힘쓰고 있는 바, 전기차에 대한 수요가 높아지고 있는만큼, 전기차의 핵심 구동력을 생산하는 2차전지와 이를 생산할 수 있는 소부장에 대한 관심도는 앞으로도 지속될 수 있다고 판단됩니다. 해당 ETF는 2차전지 내에서도 완성업체가 아닌 소재와 부품, 장비 등에 세분화 된 투자자들의 니즈를 충족시키고자 고안한 상품으로 국내 2차전지 소부장 기업들만을 투자하기를 고려하는 투자자들에게 적합한 상품이라고 판단됩니다. 2차전지 중 특히 소재 분야는 우리나라가 2차전지 산업 내에서 강점을 가져가고 있는 부분으로 특색있는 투자처로 인식되고 있음 동 상품은 국내시장에는 없었던 유형으로 2차전지 소재와 부품, 장비 업체만을 추종하고 있다는 차별점을 가지고 있으며 보다 장기적인 관점에서 2차전지 소부장에 대한 투자 기회를 보다 수월하게 제공할 수 있을 것으로 보여 당사만의 ETF상품 포지션으로 구축하고자 합니다. 해당 ETF투자의 경우 1주당 10,000원(최초 설정시점 기준)으로 투자를 할 수 있습니다. 설정단위는 50,000좌이며, 현물설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
