항목,내용
한글명,PLUS 코스피
영문명,PLUS KOSPI
표준코드,KR7227830007
종목코드,227830
상장일,2015-09-23
펀드형태,수익증권형
기초지수명,코스피지수
추적배수,일반 (1)
자산운용사,한화자산운용
지정참가회사(AP),"메리츠 증권, NH투자증권, 대우증권, 삼성증권, 현대증권, SK증권"
총보수(%),0.2
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초 설정일로부터 2015년 12월 31일까지"
과세유형,비과세
분배금 지급일,"매 1월, 4월 7월, 10월의 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.arirangetf.com
www.arirangetf.com,www.arirangetf.com
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"- 이 투자신탁은 국내 주식을 법 시행령 제94조 제2항 제4호에서 규정하는 주된 투자대상자산으로 하며, “한국종합주가지수(KOSPI)""를 추적대상지수로 하여 1좌당 순자산가치의 변동률을 추적대상지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목적으로 합니다. - “한국종합주가지수(KOSPI)""는 한국거래소 산출하는 주가 지수로, 유가증권시장에 상장된 보통주 전체에 투자합니다. 해당 지수의 종목별 투자 비중은 시가총액 가중방식으로 결정 됩니다."
투자유의사항,"- 이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 예금보험공사가 보호하지 아니하며 원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자손실에 대하여 책임을 지지 아니합니다. - 이 투자신탁의 수익률은 다음과 같은 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 이 경우 집합투자업자는 추적오차를 최소화하기 위하여 투자신탁 관련비용의 최소화, 추적오차를 감안한 포트폴리오 납입자산내역 작성 등의 다양한 보완방법을 실행할 것이지만, 최소한의 추적오차가 수시로 발생한다는 점과 때로는 추적오차의 정도가 증가할 가능성이 있음을 유의 하셔야 합니다. ㅇ 추가설정, 환매, 종목 편출ㆍ입 및 비중조정 등 주식 매매 ㅇ 이 투자신탁은 관련된 제반비용(매매수수료, 지수사용료, 상장수수료 등) ㅇ 신탁재산에서 보유하고 있는 주식에서 발생하는 현금배당 ㅇ 기초지수 구성종목 중 일부(저유동성, 재무요건 미달 종목 등)편입 제외 - 이 투자신탁은 한국거래소에 상장되어 거래되는 상장지수투자신탁으로서 투자신탁의 순자산가치인 기준가격과 시장수급의 변화로 인해 형성되는 시장거래가격이 서로 다르게 형성될 수 있습니다. 특히, 해당 종목의 거래량에 따라 이러한 경향은 더욱 강화될 수 있습니다. * ETF괴리율 일정수준 이상시 신고의무: 괴리율이 1% 이상인 경우 - 관련 규정에서 정하는 한도를 초과하여 추적오차가 발생하고 이것이 일정기간 이상 지속되는 경우, 기초지수를 산정할 수 없거나 이용할 수 없게 되는 경우, 기타 유가증권시장 상장규정에 따라 상장폐지가 필요하다고 인정되는 경우 상장이 폐지될 수 있습니다. - 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지(http://www.arirangetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어 보시기 바랍니다."
