항목,내용
한글명,파워 고배당저변동성
영문명,Power LVHD
표준코드,KR7192720001
종목코드,192720
상장일,2014-02-20
펀드형태,수익증권형
기초지수명,코스피 200 고배당지수
추적배수,일반 (1)
자산운용사,교보악사자산운용
지정참가회사(AP),"교보증권(주), 삼성증권(주), KDB대우증권(주), 미래에셋증권(주), KB투자증권(주), 대신증권(주), 신한금융투자(주), 현대증권(주), 한화투자증권(주), 한국투자증권(주), 하이투자증권(주)"
총보수(%),0.23
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 2014년 12월 31일까지."
과세유형,비과세
분배금 지급일,"1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kyoboaxa-im.co.kr
http://www.kyoboaxa-im.co.kr,http://www.kyoboaxa-im.co.kr
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (전략) / (-) (배당) / (-)
기본 정보,"이 투자신탁은 한국거래소가 발표하는 “KOSPI200고배당지수”를 기초지수로 하여 보수차감후 1좌당 순자산가치의 일간변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용함을 목표로 합니다. 이 투자신탁의 포트폴리오는 기초지수인 KOSPI200고배당지수의 복제를 위하여 현물 바스켓으로 포트폴리오를 구성하고, 기초지수 내 종목 변경 및 종목별 이벤트, 대차 등을 활용하여 운용할 예정입니다. 또한, 집합투자업자가 추적오차의 최소화등을 위하여 필요하다고 판단하는 경우 주가지수선물 등의 파생상품에 투자할 수도 있으며, 신규 편입 예정종목에도 투자할 수 있습니다. 이 투자신탁의 운용실적 비교를 위해 비교지수를 “KOSPI200고배당지수* 100%” 로 정하였습니다. KOSPI200고배당지수는 한국거래소가 산출 및 공표하는 지수로서, KOSPI200구성종목중 거래유동성, 배당률 및 변동성을 반영하여 구성한 50개 종목으로 구성되어 산출되는 지수입니다. 동 지수의 지수산출의 기준일은 2005년 1월 3일이며, 기준지수는 1,000pt입니다."
투자유의사항,"이 투자신탁은 기초지수와 동일한 수익률을 실현함을 그 투자목표로 하고 있으나, 투자신탁보수 및 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 따라서, 이 투자신탁의 수익률과 추적대상 지수의 수익률이 동일할 것을 전제로 하는 투자는 당해 추적오차로 인하여 예상하지 못한 손실을 실현할 수도 있습니다. 이 투자신탁은 시장(혹은 비교지수) 수익률 달성을 목표로 하기 때문에 시장(혹은 비교지수) 수익률 하락에 직접적으로 영향을 받습니다. 즉, 시장수익률 하락시 수익률하락 방어를 목적으로 하는 포트폴리오조정 등 별도의 노력을 수행하지 않음에 유의하시기 바랍니다. 관련규정에서 정하는 사유에 해당하는 경우 투자신탁이 상장 폐지될 가능성이 있습니다. 또한, 지수산출기관이 지수발표를 중단하게 되는 등의 이유로 이 투자신탁이 목표로 하는 지수를 산정할 수 없거나 이용할 수 없게 되는 경우도 이 투자신탁은 상장이 폐지될 수 있습니다. 상품에 대한 자세한 내용은 집합투자업자 홈페이지(http://www.kyoboaxa-im.co.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하여 주시기 바랍니다."
