항목,내용
한글명,PLUS 코리아밸류업
영문명,PLUS Korea Value-up
표준코드,KR7495040008
종목코드,495040
상장일,2024-11-04
펀드형태,수익증권형
기초지수명,코리아 밸류업 지수
추적배수,일반 (1)
자산운용사,한화자산운용
지정참가회사(AP),"메리츠증권, 키움증권, NH투자증권, KB증권, 유진투자증권, 대신증권, IBK투자증권, 한국투자증권, 한화투자증권"
총보수(%),0.009
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,비과세
분배금 지급일,매월 15일 (영업일이 아닌 경우 그 직전 영업일)
홈페이지,http://www.plusetf.co.kr
http://www.plusetf.co.kr,http://www.plusetf.co.kr
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 주식을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하며, 1좌당 순자산가치의 일간변동률을 “코리아 밸류업 지수”의 1배수와 유사하도록 투자신탁재산을 운용함을 그 목적으로 합니다."
투자유의사항,"이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 보호되지 않으므로 투자원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당 사자도 투자손실에 대하여 책임을 지지 아니합니다. 주식의 가치는 일반적으로 발행회사 고유의 위험뿐만 아니라 여러 가지 거시경제지표의 변화에 따라서도 급변할 수 있습니다. 특히 주식은 다른 여타의 자산보다 그 변동성이 큰 특징이 있으며, 이로 인해 주식투자 시에는 투자원금의 손실 가능성이 매우 큰 위험이 있습니다. 이 투자신탁은 추적대상 지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 일시적인 가격 변동, 투자신탁보수, 위탁매매수수료, 지수사용료, 상장수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 추적대상 지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 따라서 이 투자신탁의 수익률과 추적대상 지수의 수익률이 동일할 것을 전제로 하는 투자는, 당해 추적오차로 인하여 예상하지 못한 손실을 실현할 수도 있습니다. 이 투자신탁은 기초지수 수익률과 유사한 성과 달성을 목표로 하기 때문에 시장수익률 하락에 직접적으로 영향을 받습니다. 즉, 시장수익률 상승 혹은 하락 시 수익률하락 방어를 목적으로 하는 포트폴리오 조정과 같은 별도의 노력을 수행하지 않습니다. 이 투자신탁은 주로 국내 주식에 투자하는 상품입니다. 따라서 이 상품은 한국의 경제성장률, 이자율 등 거시경제지표의 변화에 따른 위험에 노출됩니다. 이 투자신탁의 기초지수는 사업보고서, 조사분석자료 등에서 지수산출업자가 선정한 테마 관련 키워드를 바탕으로 관련도가 높은 종목을 선정합니다. 그러므로 해당 테마 내 선정된 종목의 시장점유율, 매출액 등 실제 실적과는 괴리가 발생할 위험이 있습니다. 이 투자신탁을 설정한 이후 1년이 되는 날에 원본액이 50억 미만인 경우 또는 투자신탁을 설정하고 1년이 지난 후 1개월간 계속하여 투자신탁의 원본액이 50억원 미만인 경우 집합투자업자가 투자신탁을 해지하는 등 투자자의 동의 없이 해당 집합투자기구를 해지할 수 있습니다. 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지 (http://www.plusetf.co.kr/) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어보시기 바랍니다."
