항목,내용
한글명,TIGER 200커버드콜
영문명,TIGER 200 COVERED CALL
표준코드,KR7289480006
종목코드,289480
상장일,2018-02-09
펀드형태,수익증권형
기초지수명,코스피 200 커버드콜 ATM 지수
추적배수,일반 (1)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),"미래에셋대우,NH투자증권,DB금융투자"
총보수(%),0.38
회계기간,"최초설정일부터 당해 연도 12월 31일까지로 하며, 이후의 회계기간은 그 익일로부터 매년 12월 31일까지로 함"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매월 마지막 영업일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.tigeretf.com
http://www.tigeretf.com,http://www.tigeretf.com
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (전략) / (-) (구조화) / (-)
기본 정보,"이 ETF는 주식 및 주식관련 장내파생상품을 주된 투자대상자산으로 하며, “코스피 200 커버드콜ATM 지수”를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용함을 목적으로 합니다.  한국거래소가 발표하는 코스피 200 커버드콜 ATM 지수는 코스피 200 지수와 코스피 200 옵션시장에 상장된 콜옵션 최근월종목 중에서 직전 결제월 최종거래일의 코스피 200 종가지수 이상의 행사가격 중 낮은 행사가격인 종목 순으로 두 종목을 선정하여 산출하는 지수입니다."
투자유의사항,"이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다.  개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다.  ATM 콜옵션이라 함은 현재 지수를 행사가격으로 하는 콜옵션을 의미합니다. OTM 콜옵션은 현재 지수보다 높은 행사가의 콜옵션을 의미합니다. ATM 콜을 매도할 경우 지수 상승에 대한 상승분을 향유하기 어려움이 있으나 OTM 콜과 비교하여 높은 옵션 프리미엄을 수취할 수 있습니다. 이 ETF는 코스피200 지수 상승에 의한 수익이 아닌 옵션 프리미엄에 대한 수익이 발생하므로 코스피200 지수 상승시에도 지수 상승률 대비 수익률이 낮을 수 있습니다. 반면 지수 하락시에는 지수대비 낮은 손실을 보일 가능성이 높습니다. 상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
