항목,내용
한글명,WON AI ESG액티브
영문명,WON AI ESG Active
표준코드,KR7413930009
종목코드,413930
상장일,2022-01-05
펀드형태,수익증권형
기초지수명,MK-iSelect AI ESG 지수(시장가격지수)
추적배수,일반 (1)
자산운용사,우리자산운용 주식회사
지정참가회사(AP),"메리츠증권, 유진투자증권, NH투자증권, 하이투자증권"
총보수(%),0.31
회계기간,1. 최초 회계기간 : 최초설정일로부터 2021년 12월 31일까지 2. 제1호의 회계기간 경과 후의 회계기간 : 2022년 1월 1일부터 매 1년간
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.wooriam.kr
www.wooriam.kr,www.wooriam.kr
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (전략) / (-) (전략테마) / (-)
기본 정보,"- 이 투자신탁은 국내 주식을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하며, iSelect에서 산출ㆍ발표하는 “MK-iSelect AI ESG 지수”를 비교지수로 하여 비교지수 대비 초과성과를 목표로 투자신탁재산을 운용함을 목적으로 합니다. - “MK-iSelect AI ESG 지수”는 코스피와 코스닥 종목 중 지속가능발전소의 AI 평가기반 ESG 점수가 있는 종목들 중에서 거래대금 등의 투자적정성 조건을 충족하고 ESG 점수가 상위 30%인 종목을 유니버스로 하여, 유니버스 내 종목들 중 유동시가총액 기준 상위 100개 종목을 선정합니다. 선정된 100종목 중에서 지속가능발전소의 실시간 AI뉴스 분석에 기반해 산출되는 ESG 리스크 점수를 활용하여 산출한 수정 시가총액으로 최종 편입 비중 결정합니다. 이 때, 시장 시가총액의 10%를 초과하는 종목의 경우, 지수 내 비중이 25%를 초과할 경우 25%로 비중을 제한하고, 그 외 한 종목의 비중 상한을 10%로 제한합니다. 정기변경은 매년 4회로, 1, 4, 7, 10월 첫 영업일 이루어집니다.  * 수정 시가총액이란 각 종목의 유동 시가총액을 ESG 리스크 점수에 따라 할인율을 적용하여 수정된 시가총액 (예: A종목 ESG리스크 점수 2.0 일 경우 할인율은 (10*2.0)/100=20% 적용. 즉, A종목 유동 시가총액이 1,000억이면 수정 시가총액은 800억으로 계산됨) - 액티브 포트폴리오는 ESG리서치팀의 리서치 역량과 섹터담당 운용역의 판단에 기초해 기초지수 구성종목 내, 외의 유망 성장주를 ESG 요소 고려 후 비중 확대, 편입합니다. 이 외에도, 비교지수 구성 종목 중 부실 징후가 있는 종목은 선별적 제외, 혹은 비교지수에 포함되지 않은 주요 시장 종목에 대해 ESG 평가 리뷰 및 재무, 성장성 요소를 고려해 포트폴리오를 조정합니다."
투자유의사항,"- 이 투자신탁은 집합투자기구의 운용실적에 따라 손익이 결정되는 실적배당상품으로 예금자보호법에 따라 예금보험공사가 보호하지 아니하며 원본을 보장하지 않습니다. 따라서 투자원본의 전부 또는 일부에 대한 손실의 위험이 존재하며 투자금액의 손실 내지 감소의 위험은 전적으로 투자자가 부담하며, 집합투자업자나 판매회사 등 어떤 당사자도 투자손실에 대하여 책임을 지지 아니합니다. - 이 투자신탁은 유가증권시장 상장규정 제113조에 따른 액티브상장지수펀드로서 상장지수펀드의 순자산가치의 변화가 비교지수를 초과하도록 운용하는 것을 목표로 합니다. 따라서 이 투자신탁은 1좌당 순자산가치의 일간 변동률과 지수의 일간 변동률이 유사하도록 추종하는 것을 그 목적으로 하는 기존의 상장지수투자신탁(이하 “ETF”라 한다)와 달리 투자신탁재산의 운용방식을 지수의 변화를 초과하도록 운용하는 것을 목표로 하는 ETF입니다. 따라서 이 투자신탁은 투자신탁을 운용하는 담당매니저의 재량으로 운용되는 투자신탁이며 지수의 성과와 다른 성과가 실현될 수 있습니다. - 이 집합투자기구는 추적대상 지수와 유사한 수익률 실현을 목적으로 운용되는 ETF가 아니기 때문에 별도의 추적오차 위험이 존재하지 않습니다. 다만, 유가증권시장 상장 규정에 따라 ETF(상장일부터 1년이 경과하지 아니한 ETF는 제외)의 1좌당 순자산가치의 일간변동률과 ETF 비교지수 일간변동률의 상관계수가 0.7 미만이 되어 3개월간 계속되는 경우 상장폐지 대상이 되므로 이에 해당하지 않도록 ETF와 비교지수의 상관계수를 관리할 예정입니다. - 이 투자신탁은 비교지수를 초과하는 수익률을 실현 추구함을 그 투자목적으로 하고 있으므로 비교지수의 수익률과 차이가 발생할 수 있으며, 비교지수는 성과평가의 용도로만 사용됩니다. - 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하고 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없습니다. 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. - 법인은 지정참가회사에 설정단위(CU: Creation Unit)인 50,000좌 또는 그 정배수로만 설정 또는 환매 청구가 가능하며, 집합투자업자의 승인에 의하여 효력이 발생합니다. 그러나 개인은 한국거래소 유가증권시장에서 장중 매매를 통하지 않고서는 수익증권의 매수 또는 환매가 불가능합니다. 따라서, 개인투자자는 원하는 가격에 원하는 수량을 매도하여 현금화하는데 어려울 수가 있습니다. - 투자 의사를 결정하기 전에 반드시 자산운용사 홈페이지 (http://wooriam.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 읽어 보시기 바랍니다."
