항목,내용
한글명,KOSEF 차이나A50커넥트MSCI
영문명,KOSEF China A50 Connect MSCI
표준코드,KR7441330008
종목코드,441330
상장일,2022-09-20
펀드형태,수익증권형
기초지수명,MSCI China A50 Connect Index
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"삼성증권, 메리츠증권, KB증권"
총보수(%),0.2
회계기간,"매년 1월 1일부터 12월 31일까지(단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지)"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1, 4, 7, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(해외) (아시아) (중국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"1. 이 투자신탁은 외국 주식을 주된 투자대상으로 하며, MSCI가 산출하여 발표하는 ‘MSCI China A50 Connect Index’를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률에 연동되도록 투자신탁재산을 운용함을 목적으로 합니다. 2. 기초지수(MSCI China A50 Connect Index)는 중국 경제를 대표하는 벤치마크 지수이자 증시연계제도(Stock Connect)에 기반하고 있는 MSCI China A Index를 모(母)지수로 하여 모지수의 구성종목 가운데 유동시가총액 기준 상위 50개 종목을 편입합니다. 모(母)지수와 동일한 섹터 가중치를 보유하도록 설계되었으며, 중국 정시 전체 11개 섹터에서 섹터별 최소 2개 종목을 대상으로 중국 신경제 및 구경제 산업에 대한 균형 잡힌 익스포저를 보장합니다. 3. 이 투자신탁은 환율변동위험 제거를 위한 환헤지 전략을 실행하지 않습니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
