항목,내용
한글명,SOL 종합채권(AA-이상)액티브
영문명,SOL Total Bond Active(AA-Higher)
표준코드,KR7436140008
종목코드,436140
상장일,2022-08-09
펀드형태,수익증권형
기초지수명,"KAP K-종합채권지수(AA-이상, 총수익)"
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"메리츠증권, 키움증권, 미래에셋증권, 신한금융투자"
총보수(%),0.04
회계기간,"최초설정일로부터 당해연도 12월 31일까지, 최초 회계기간 이후 매 1년간"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (혼합) / (-) (중기) / (-)
기본 정보,"이 투자신탁은 주식을 법 시행령 제 92조 2항제 4호에서 규정하는주된 투자대상자산으로 하여 해당상품은 KAP K-종합채권지수(AA-이상,총수익)를 비교지수로 하여 투자신탁 순자산가치의 변화를 비교지수 대비 초과하는 것을 목표로 하는 국내 채권형 액티브 ETF 상품입니다. 이 투자신탁의 비교지수는 KAP(한국자산평가)가 산출하는 지수로 한국의 우량채권을 종합적으로 구성하는 KAP K-종합채권지수(AA-이상,총수익)이며 비교지수는 구성종목의 이자를 재투자하는 Total Returen 지수 유형입니다. 이 투자신탁은 상관계수를 유지하기 위하여 70% 수준으로 지수구성 종목을 복제하여 투자하고, 30% 이내에서 시장상황에 따라 종목별 선별투자를 통해 추가수익을 추구하며 기관투자가와 개인의 자산배분을 위해 국내 우량채권의 포지션을 제공하고 액티브채권형ETF 라인업 확대와 이에 대한 니즈를 충족할 수 있을 것으로 보입니다. 또한 기존 패시브 채권형 ETF와 달리 장단기 Curve 전략, 종목선택전략, 크레딧 투자전략 등 적극적으로 비교지수 대비 초과성과를 추구하여 추가적인 알파 수익을 추구할 계획입니다. 해당 ETF의 설정단위는 1,000좌이며, 현금설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
투자유의사항,"이 투자신탁은 국내채권을 주된 투자대상으로 비교지수 대비 초과성과를 추구합니다. 따라서 비교지수와 동일한 수익률을 실현함을 목적으로 하는 기존의 ETF와 달리 비교지수대비 높은 추적오차가 발생할 수 있습니다. 이러한 추적오차는 시장의 변동에 적극적으로 대응하여 비교지수대비 높은 성과를 추구하는 이 집합투자기구의 투자목적에 따른 운용상의 결과이며, 지수와의 괴리율은 매일 공고되는 추적오차율 공고를 통해 확인하실 수 있습니다. 다만, 이 집합투자기구는 비교지수와의 상관계수를 0.7이상으로 관리하여 비교지수와의 성과 괴리율은 일정 수준 이내로 관리할 예정입니다. 이 투자신탁은 자산의 대부분을 가격변동이 작고 부도위험이 낮은 국채, 지방채, 특수채 등에 선별적으로 투자하여 안정적인 성과를 추구할 예정입니다. 또한 비교지수대비 초과성과를 추구하기 위해서 채권의 이자수익 이외에 수익률곡선전략, 상대가치매매전략, 투자신탁의 가중평균만기(듀레이션)조절 전략 등을 사용하여 적극적인 운용을 할 계획입니다. 다만, 이러한 전략이 항상 초과성과를 담보하는 것은 아니며, 시장상황에 따라 비교지수대비 낮은 성과를 시현할 수도 있습니다. 이 투자신탁은 한국거래소에서 상장되어 거래되며 유통시장에서 시장가격으로 매매됩니다. 유통시장에서 거래되는 시장가격은 이 집합투자기구의 순자산가치(NAV, Net Asset Value) 및 시장의 수요와 공급에 따라 변동됩니다. 따라서 이 집합투자기구의 시장가격은 시장의 수요와 공급에 따라 순자산가치대비 높게 거래되거나 낮게 거래될 수 있으며, 유동성공급자의 헤지수준과 헤지방법에 따라 시장가격과 순자산가치의 괴리도는 줄어들거나 확대될 수 있습니다. 이 투자신탁에서 투자하는 채권의 가격은 이자율에 의해 결정됩니다. 일반적으로 이자율이 하락하면 채권가격이 상승에 의한 자본이득이 발생하고 이자율이 상승하면 자본손실이 발생합니다. 따라서 채권을 만기까지 보유하지 않고 중도에 매도하는 경우에는 시장상황에 따라 손실 또는 이득이 발생할 수 있습니다. 이 투자신탁은 채권 등의 거래에 있어서 발행회사나 거래상대방의 영업환경, 재무상황 및 신용상태 악화 등에 따라 발행회사나 거래상대방의 신용등급이 하락하거나 채무불이행 위험에 커짐으로 인해 급격한 가치변동을 초래할 수 있습니다. 이 투자신탁을 채권 및 장내파생상품에 투자함으로써 집합투자기구는 증권의 가격 변동 이자율 등 기타 거시경제지표의 변화에 따른 위험에 노출됩니다. 또한 집합투자재산의 가치는 투자대상종목의 발행회사의 영업환경, 재무상황 및 신용악화에 따라 급격히 변동될 수 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.soletf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
