항목,내용
한글명,SOL 코스닥150
영문명,SOL KOSDAQ 150
표준코드,KR7450910005
종목코드,450910
상장일,2023-01-31
펀드형태,수익증권형
기초지수명,코스닥 150
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"BNK투자증권, KB증권, NH투자증권, SK증권, 신한투자증권, 이베스트투자증권, 키움증권"
총보수(%),0.15
회계기간,"최초 회계기간: 최초설정일로부터 당해연도 12월 31일까지, 최초 회계기간 이후: 매 1년간다만, 신탁계약 해지시에는 투자신탁의 회계기간 초일부터 신탁계약의 해지일까지"
과세유형,비과세
분배금 지급일,"매 1,4,7,10월의 마지막영업일 및 회계기간 종료일(종료일이 영업일이 아닌 경우 종료일의 직전영업일)"
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(국내) (코스닥) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 법 시행령 제 92조 2항제 4호에서 규정하는 주된 투자대상자산으로 하며 KOSDAQ 150 Index(PR)’(이하 ‘기초지수’)를 기초지수로하여 지수의 일간수익률을 정배수로 추적하는 것을 운용의 목표로 합니다. 기초지수는 코스닥 시장 내에 상장되어 있는 종목들을 산업군, 시가총액, 유동성 등을 고려하여 150종목으로 구성된 코스닥 시장의 대표 지수서 IT 하드웨어(23.6%), 헬스케어(14.1%), IT 소프트웨어(10.0%) 등으로 구성되어 있습니다. 또한 코스닥 시장은 중소기업, 신성장기업, 벤처기업 등의 주식이 상장되어 거래되고 있는 한국의 대표적인 주식시장입니다. 특히, 코스닥150지수는 코스닥시장내 중대형 기업(150종목)을 중심으로 편성된 지수로서 신성장산업에 대한 투자 기회를 제공할 수 있을 것으로 예상됩니다. 최근 미국의 물가 레벨 수준은 CPI 중심으로 변곡점을 맞이한 상황인 것으로 파악되나, 고물가의 시대는 당분간 이어질 것으로 전망되고 있습니다. 성장주 중심의 기업들이 다수 상장되어 있는 코스닥 시장의 입장에서 당분간은 변동성 확대는 불가피할 것으로 평가됩니다. 다만, 2023년 이후 연준을 비롯한 주요국 중앙은행들의 금리 인상 속도 조절이 이어질 것으로 보여지며, 물가 레벨이 서서히 잡히면서 금리 인상 속도를 조절할 것으로 평가되고 있는 상황입니다. 또한 최근에는 헬스케어, 2차전지, 의료기기 등과 같은 다양한 신성장기업들이 투자자들의 주목을 받고 있는 점을 종합적으로 고려해, 장기적인 관점에서 금리 인상 속도가 조절되고 성장산업들의 관심이 지속될 수 있는 흐름 하에서는 코스닥에 대한 투자자들의 관심이 높아질 수 있을 것으로 평가하고 있습니다. 당사는 국내주식형 기본 라인업으로 코스닥 대표지수인 ‘SOL 코스닥150’ ETF를 상장하고자 하며 장기적으로 성장이 예상되는 산업에 대한 투자기회를 제공하고자 합니다. 해당 ETF투자의 경우 1주당 10,000원(최초 설정시점 기준)으로 투자를 할 수 있습니다. 설정단위는 20,000좌이며, 현금설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
