항목,내용
한글명,KODEX 미국달러선물레버리지
영문명,KODEX USD Futures Leverage
표준코드,KR7261250005
종목코드,261250
상장일,2016-12-27
펀드형태,수익증권형
기초지수명,미국달러 선물 레버리지지수
추적배수,2X 레버리지 (2)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"유진투자증권, 하이투자증권, SK증권, 신한금융투자"
총보수(%),0.45
회계기간,매년 1월 1일부터 12월 31일까지(최초 회계기간: 최초설정일로부터 해당년도 12월 31일까지)
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.kodex.com
www.kodex.com,www.kodex.com
기초 시장,(국내) (주식외) (-)
기초 자산,(통화) (미국달러) / (-) (-) / (-)
기본 정보,"이 투자신탁은 한국거래소(KRX)에서 거래되는 미국달러선물의 가격수준을 종합적으로 표시하는 미국달러선물지수(이하 “기초지수”라 한다)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률의 양(陽)의 2배수로 연동하여 투자신탁재산을 운용함을 그 운용목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"레버리지투자위험 이 투자신탁은 채권, 집합투자증권 및 파생상품 등을 활용하여 순자산보다 더 큰 투자비중을 유지하는 투자신탁으로 미국달러선물지수의 변동에 따라 그 투자성과가 더 큰 폭으로 변동하는 특성을 가지고 있습니다. 그러므로, 미국달러선물지수가 지속적으로 하락할 경우에는 더 큰 손실을 볼 수 있고 미국달러선물지수가 큰 폭의 변동성을 보이면서 움직이는 경우에는 지수의 성과조차 추적하지 못 할 수 있습니다. 또한, 파생상품을 이용하여 레버리지 투자를 완성하므로 파생상품의 내재변동성 및 민감도에 따라 다른 수익이 실현될 수도 있으며 투자한 파생상품과 관련 지수 등과 불완전 상관관계로 손실이 발생할 수 있습니다. 아울러, 미국달러선물지수의 기대수익과 변동성 등의 시장상황에 대한 이해와 재무적인 사전지식에 기반하여 투자를 결정하여야 하며 이런 사전적인 검토에도 불구하고 기대와는 다른 수익을 실현할 수 있습니다. ETF 거래가격과 순자산가치(NAV)와의 괴리 위험 한국거래소에 상장되어 있는 ETF의 경우 경쟁매매를 통해 ETF의 거래가격이 결정되기 때문에 1좌당 거래가격이 1좌당 NAV에 비해 높거나 낮은 수준에서 거래될 수 있습니다. 이로 인해 투자자는 1좌당 NAV와 일치하지 않는 ETF를 매수 또는 매도할 수 있으며 이러한 거래로 인해 손실이 발생할 수 있습니다."
