항목,내용
한글명,KODEX iShares미국하이일드액티브
영문명,KODEX iShares US HY Active
표준코드,KR7468380001
종목코드,468380
상장일,2023-10-19
펀드형태,수익증권형
기초지수명,ICE BofAML US HY Constrained Index(Total Return)
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"SK증권, 신한투자증권, 한국투자증권, 메리츠증권, NH투자증권, 현대차증권"
총보수(%),0.15
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,매월 마지막 영업일
홈페이지,http://www.kodex.com
http://www.kodex.com,http://www.kodex.com
기초 시장,(해외) (북미) (미국)
기초 자산,(채권) (회사채) / (-) (-) / (-)
기본 정보,"이 투자신탁은 ICE Data Indices 가 산출하는 ICE BofAML US HY Constrained Index 지수를 비교지수로 하여 비교지수 대비 초과성과를 목표로 투자신탁재산을 운용하는 것을 목표로 하는 액티브상장지수펀드입니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"시장위험 및 개별위험 투자신탁재산을 채권 및 어음 등에 투자함으로써 증권의 가격 변동, 이자율 등 기타 거시경제지표의 변화 등에 따른 위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 이자율 변동에 따른 위험 채권의 가격은 이자율에 의해 결정됩니다. 일반적으로 이자율이 하락하면 채권가격의 상승에 의한 자본이득이 발생하고 이자율이 상승하면 자본손실이 발생합니다. 따라서 채권을 만기까지 보유하지 않고 중도에 매도하는 경우에는 시장상황에 따라 손실 또는 이득이 발생할 수 있습니다. 환율변동위험 이 투자신탁은 해외투자로 인한 환율변동위험에 대해 환율변동위험 제거를 위한 환헷지 전략을 기본적으로 실시하지 않을 계획이므로 환율변동에 따른 위험에 노출되어 있습니다. 집합투자증권 투자에 따른 위험 이 투자신탁은 해외상장지수집합투자증권에 주로 투자하기 때문에 피투자 해외집합투자증권의 투자자산인 해외 증권의 가격하락 등에 따라 투자원금액 손실이 발생할 수 있으며, 주요 투자대상인 해외상장지수집합투자증권의 운용 전략의 상세한 내역 전부 또는 일부가 공개되지 않을 수 있으므로 투자하는 해외상장지수집합투자증권에 대한 정보를 충분히 얻지 못할 수 있습니다. 장외파생상품 관련 위험 이 투자신탁은 거래소와 같은 공개시장이 아닌 장외시장에서 거래가 이루어지는 장외파생상품에 투자 가능합니다. 상대적으로 정부의 규제나 감독이 엄격하지 않는 장외시장에서 거래가 이루어짐으로써 거래소의 정산이행보증과 같이 장내거래 참여들에게 제공되는 보호가 제공되지 않습니다. 따라서 장외파생상품에 투자시에는 거래상대방이 파산하거나 신용위기를 경험하는 경우 투자자금 전액회수가 불가능할 수도 있는 위험에 노출됩니다. 재간접 투자에서 발생하는 비용 위험 이 투자신탁은 집합투자규약에 명시된 보수 이외에 재간접 투자에 따른 피투자신탁 보수가 발생하며, 지수사용료, 매매비용 등 기타비용이 추가로 발생할 수 있습니다. 따라서 해당 투자신탁 투자시 이에 대한 내용을 사전적으로 반드시 확인하시기 바랍니다. 액티브 ETF 투자위험 이 집합투자기구는 비교지수 대비 초과성과를 목표로 운용하는 것을 목표로 하는 액티브ETF입니다. 따라서 이 투자신탁은 투자신탁을 운용하는 담당매니저의 재량으로 운용되는 투자신탁이며 비교지수의 성과와 다른 성과가 실현될 수 있습니다."
