항목,내용
한글명,KODEX 미국배당커버드콜액티브
영문명,KODEX US Dividend Covered Call Active
표준코드,KR7441640000
종목코드,441640
상장일,2022-09-27
펀드형태,수익증권형
기초지수명,S&P 500
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"DB금융투자, NH투자증권, SK증권, 메리츠증권, 미래에셋증권, 삼성증권, 신한금융투자, 키움증권, 한국투자증권"
총보수(%),0.19
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,매월 마지막 영업일
홈페이지,http://www.kodex.com/
http://www.kodex.com/,http://www.kodex.com/
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 S&P가 산출·발표하는 S&P500 Index(Price Return)를 비교지수로 하여 비교지수 대비 초과성과를 목표로 투자신탁재산을 운용하는 것을 목표로 하는 액티브상장지수펀드입니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"시장위험 및 개별위험 투자신탁재산을 해외주식 및 관련 집합투자증권, 관련 파생상품 등에 투자함으로써 증권의 가격 변동, 이자율 등 기타 거시경제지표의 변화 등에 따른 위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 상장폐지위험 유가증권시장 상장규정 제116조의 상장폐지기준에 해당되거나 공익과 투자자보호를 위하여 증권시장이 이 투자신탁의 수익증권 상장폐지가 필요하다고 인정하는 경우 이 투자신탁은 상장폐지하여야 합니다. 투자자는 상장폐지 전에 매도 청산하거나, 상장폐지 시점의 NAV 기준으로 분배받게 됩니다. 시장거래에 따른 순자산가치와의 괴리 위험 이 투자신탁은 한국거래소에 상장되어 거래되며 시장가격으로 유통시장을 통해 매매됩니다. 이 투자신탁의 시장 가격은 순자산가치(NAV) 및 유통시장의 수요와 공급에 따라 변동됩니다. 따라서, 이 투자신탁의 시장 가격은 이 투자신탁에 수요와 공급으로 인해 NAV보다 높게 또는 낮게 형성될 수 있습니다. 액티브 ETF 투자위험 이 집합투자기구는 액티브상장지수펀드로 상장지수펀드의 순자산가치의 변화를 가격 및 지수의 변화를 초과하도록 운용하는 것을 목표로 합니다. 따라서 이 투자신탁은 투자신탁을 운용하는 담당 매니저의 재량으로 운용되는 투자신탁이며 기초지수의 성과와 다른 성과가 실현될 수 있습니다. 추적오차 및 상관계수 위험 이 집합투자기구는 추적대상 지수와 유사한 수익률 실현을 목적으로 운용되는 ETF가 아니기 때문에 별도의 추적오차 위험이 존재하지 않습니다. 다만, 유가증권시장 상장규정에 따라 ETF(상장일부터 1년이 경과하지 아니한 ETF는 제외)의 1좌당 순자산가치의 일간변동률과 ETF 비교지수 일간변동률의 상관계수가 0.7 미만이 되어 3개월간 계속되는 경우 상장폐지 대상이 되므로 이에 해당하지 않도록 ETF와 비교지수의 상관계수를 관리할 예정입니다. 개인수익자의 투자자금 회수 곤란 위험 개인수익자는 보유 수익증권을 증권시장에서 매도하는 방법으로만 현금화가 가능합니다. 따라서, 증권시장에서 이 투자신탁 수익증권의 거래가 부족하여 개인 수익자가 원하는 가격에 원하는 수량을 매도하지 못할 경우에는 수익증권의 현금화가 어려워질 수도 있으며, 이로 인하여 기대하지 아니한 손실이 발생할 수도 있습니다. ※ 법인수익자의 경우 보유 수익증권을 증권시장에서 매도하거나 이 투자신탁 수익증권을 설정단위 또는 그 정배수로 판매회사 또는 지정참가회사에 환매 신청할 경우에는 판매회사 또는 지정참가회사에서 환매가 가능합니다. 환율변동위험 투자신탁은 해외투자로 인한 환율변동위험에 대해 환율변동위험 제거를 위한 환헷지 전략을 기본적으로 실시하지 않을 계획이므로 환율변동에 따른 위험에 노출되어 있습니다. 특정국가 집중 투자위험 이 투자신탁은 해외 특정 국가(미국)의 주식에 주로 투자하기 때문에 특정국가(미국)의 시장, 정치 및 경제상황 등에 따른 위험에 더 많이 노출이 되어 있으며, 이는 일반적으로 해외 주식시장 전체에 투자하는 글로벌 주식형 투자신탁보다 더 높은 위험을 부담할 가능성이 높습니다. 커버드콜 전략위험 이 투자신탁은 비교지수 대비 초과수익을 목표로 콜옵션매도(커버드콜) 전략을 반복적으로 실행하는 바, 이러한 콜옵션 매도 전략의 성과는 이 투자신탁의 성과에 상당한 영향을 미칩니다. 일반적으로 주가가 단기간에 강하게 상승할 경우 또는 주가가 단기간 폭등과 하락을 반복하는 특수한 양상으로 변화하는 등의 경우에 이 투자신탁의 성과가 평균적인 주식 투자성과에 미달할 가능성이 높습니다."
