항목,내용
한글명,ACE 골드선물 레버리지(합성 H)
영문명,ACE Synth-Gold Futures Leverage(H)
표준코드,KR7225130004
종목코드,225130
상장일,2015-07-28
펀드형태,수익증권형
기초지수명,S&P GSCI 2X Gold Leveraged Excess return Index
추적배수,2X 레버리지 (2)
자산운용사,한국투자신탁운용
지정참가회사(AP),"대신증권, KB투자증권"
총보수(%),0.49
회계기간,투자신탁의 최초설정일로부터 2015년 12월 31일까지
과세유형,배당소득세(보유기간과세)
분배금 지급일,투자신탁회계기간 종료일(회계기간 종료일이 영업일이 아닌 경우 회계기간 종료일의 직전 영업일)
홈페이지,www.kindexetf.com
www.kindexetf.com,www.kindexetf.com
기초 시장,(해외) (-) (-)
기초 자산,(원자재) (금속) / (-) (금) / (-)
기본 정보,"본 투자신탁은 S&P WCI Gold Excess Return Index를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수인 S&P WCI Gold Excess Return Index의 일간수익률 양(+)의 2배 변동률과 유사하도록 투자신탁재산을 운용함을 그 목적으로 합니다. 이를 위하여 S&P WCI Gold Excess Return Index의 일간수익률 양(+)의 2배성과를 제공하는 장외파생상품에 주로 투자합니다. · 스탠다드앤푸어스(Standard&Poor's)가 산출하는 S&P WCI Gold Excess Return 지수는 일본 동경 선물거래소의 골드선물 기초가격 움직임을 달러화한 지수입니다. · 본 투자신탁은 환헤지형 상품으로, 상대국의 환율 변동 노출을 최소화하는 환헷지 전략을 실시합니다."
투자유의사항,"본투자신탁은 S&P WCI Gold Excess Return Index의 일간변동률의 양(+)의 2배수를 연동하여 투자신탁 재산을 운용함을 목적으로 합니다. 여기에서의 “일간”이란, 이 ETF의 기초자산이 거래되는 거래소의 전날 장 마감시점과 다음날 장 마감시점을 기준으로 합니다. 그러므로 이 ETF를 하루 이상 보유할 경우, 투자자의 투자결과는 매일매일의 수익률을 누적하여 결정되는데, 이 결과는 해당기간 동안의 기초지수 수익률을 단순히 2배한 것과는 같을 수 없으며, 시장의 변동성이 클 경우 그 차이는 더욱 커지는 경향이 있습니다. 본 투자신탁이 연동하는 기초지수인 S&P WCI GOLD Excess Retrun Index는 지수를 구성하고 있는 원자재 선물의 가격 변화에 선물 만기 시 발생하는 만기이월효과(Rollover Effect)를 반영하여 산출하는 지수입니다. 따라서 월 선물과의 가격차이에서 발생하는 양(+)의 효과와 음(-)의 효과가 반영되어 산출되는 즉, 최근월물에서 차근월물로 오버(Rollover)되면서 발생하는 효과가 포함됩니다. · 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kindexetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
