항목,내용
한글명,ACE 미국부동산리츠(합성 H)
영문명,ACE SYNTH-USRET(H)
표준코드,KR7181480005
종목코드,181480
상장일,2013-08-01
펀드형태,수익증권형
기초지수명,Dow Jones U.S. Real Estate Index
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"대신증권(주), 한국투자증권(주), 미래에셋증권(주)"
총보수(%),0.3
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초 설정일로부터 2013년 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,투자신탁회계기간 종료일(회계기간 종료일이 영업일이 아닌 경우 회계기간 종료일의 직전 영업일)
홈페이지,http://www.kindexetf.com
http://www.kindexetf.com,http://www.kindexetf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(부동산) (리츠) / (-) (-) / (-)
기본 정보,"1좌당 순자산가치의 변동률을 기초지수인 Dow Jones US Real Estate Index의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다. S&P Dow Jones에서 산출하는 Dow Jones US Real Estate Index는 미국 주식시장 등에 상장된 REITs와 부동산관련 주식으로 구성되어 있으며, 시가총액 기준으로 가중평균하여 산출합니다. 이 ETF는 환헤지 전략을 수행하고 있습니다. 그러나 환헤지 전략의 수행에도 불구하고, 급격한 환율변동에 따라 외환 손실이 발생할 수 있습니다. 기초지수 추종을 위하여 주로 해당 인덱스 수익률을 추종하는 인덱스 스왑에의 투자를 통한 전략을 사용합니다."
투자유의사항,"합성 ETF는 일반적인 실물복제 ETF와는 달리 거래상대방의 채무불이행위험이 매우 중요함에 따라, 일별 채무불이행위험 지표로서 거래상대방 위험 일별 평가액(스왑가치-담보가치)을 HTS 등을 통하여 투자지표로 제공하고 있습니다.  또한 거래상대방의 영업용순자본비율, 스왑평가기관, 담보보관·평가기관, 스왑계약내용 등 변경 등에 대한 공시내용에 유의하여 투자하시기 바랍니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kindexetf.com/) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
