항목,내용
한글명,KOSEF 200선물인버스2X
영문명,KOSEF 200 Futures Inverse 2X
표준코드,KR7253230007
종목코드,253230
상장일,2016-09-22
펀드형태,수익증권형
기초지수명,코스피 200 선물인버스 -2X 지수
추적배수,2X 인버스 (-2)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"키움증권, 미래에셋대우, KB투자증권, 메리츠종금증권, SK증권"
총보수(%),0.46
회계기간,"매년 1월1일부터 12월31일까지(단, 최초회계기간은 최초설정일로부터 2016.12.31일까지)매년 1월1일부터 12월31일까지(단, 최초회계기간은 최초설정일로부터 2016.12."
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(국내) (코스피) (-)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"1좌당 순자산가치의 변동률을 기초지수인 코스피200선물지수(F-KOSPI200 지수)의 일간 변동률의 음의 2배수로 연동하여 투자신탁재산을 운용하는 것을 목표로 합니다. 한국거래소가 산출하는 코스피200선물지수는 한국거래소에 상장되어 거래되는 코스피200선물 중 최근월물의 가격 움직임을 나타내는 지수입니다. 최근월 종목의 만기도래 시, 최종 거래일 및 직전 거래일 포함 4거래일간 매일 25%씩 거래량가중평균 가격으로 차근월물로 교체함으로써 코스피200선물 가격을 연속성 있게 나타냅니다. 따라서 이 지수에 기초한 KOSEF 200 선물 인버스2X ETF는 코스피200선물 하락에 투자해 수익을 추구합니다."
투자유의사항,"본 투자신탁은 코스피200선물지수의 일간변동률의 음(-)의 2배수를 연동하여 투자신탁 재산을 운용함을 목적으로 합니다. 그러므로 이 ETF를 하루 이상 보유할 경우, 투자자의 투자결과는 매일매일의 수익률을 누적하여 결정되는데, 이 결과는 해당기간 동안의 기초지수 수익률을 단순히 -2배한 것과는 같을 수 없으며, 시장의 변동성이 커질 경우 그 차이는 더욱 커지는 경향이 있습니다. 본 투자신탁이 연동하는 기초지수인 코스피200선물지수는 지수를 구성하고 있는 코스피200선물의 가격 변화에 선물 만기 시 발생하는 만기이월효과(Rollover Effect)를 반영하여 산출하는 지수입니다. 따라서 최근월물에서 차근월물로 롤오버(Rollover)되면서 발생하는 효과가 포함됩니다. 이 투자신탁은 투자대상이 “코스피200 현물”이 아니라 코스피200 현물을 기초자산으로 하는 “파생상품(선물)” 이기 때문에 코스피200 현물의 “현물가격”과 정확하게 연동하지 않습니다. 따라서 이 상품에 투자하는 투자자는 실제 코스피200 현물가격이 아닌 코스피200 “선물가격”에 연동하는 것을 목적으로 하는 상품에 투자하고 있다는 사실을 유념하셔야 합니다. 상품에 대한 자세한 내용은 자산운용사 ETF 홈페이지(http://www.kosef.co.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
