항목,내용
한글명,KODEX 차이나A50
영문명,KODEX FTSE CHINA A50
표준코드,KR7169950003
종목코드,169950
상장일,2013-01-21
펀드형태,수익증권형
기초지수명,FTSE China A50 Index
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"대우증권(주), 미래에셋증권(주), 삼성증권(주), 우리투자증권(주), 유진투자증권(주), 한국투자증권(주), 하이투자증권(주), 현대증권(주), SK증권(주)"
총보수(%),0.12
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 2013년 12월 31일까지."
과세유형,배당소득세(해외주식투자전용ETF)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. (다만 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kodex.com
http://www.kodex.com,http://www.kodex.com
기초 시장,(해외) (아시아) (중국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"- 1 좌당 순자산가치의 변화가 이 투자신탁의 기초지수인 FTSE China A50 지수(KRW 기준, 환헷지 안함)의 변화를 추종하도록 운용하는 것을 운용목표로 합니다. - FTSE China A50 지수는 상하이 증권거래소 및 선전 증권거래소에 상장된 주식중 시가총액기준 상위 50개 종목으로 구성된 지수로서 FTSE(Financial Times Security Exchange)에서 산출 발표합니다. - 이 투자신탁은 기본적으로 기초지수인 FTSE China A50 지수를 추종하는 것을 목적으로 중국 본토 A 주에 주로 투자하는 모투자신탁 및 중국 본토 A 주 관련 파생상품에 주로 투자하는 모투자신탁에 분산하여 투자할 계획입니다. - 이 투자신탁이 투자하는 모투자신탁이 중국 본토 A 주 뿐만 아니라 SGX FTSE China A50 지수선물, 중국 본토 A 주 관련 집합투자증권 등 중국 본토 A 주 관련 대체수단(이하, '중국 본토 A주 대체수단')에 투자할 계획이므로 이 투자신탁의 순자산가치와 기초지수간의 추적오차가 발생할 수 있습니다. 이러한 추적오차를 최소화하기 위해 중국 본토 A 주 대체수단에의 투자를 이 투자신탁 자산총액의 100 분의 50 을 미만이 되도록 운용할 것이며 QFII 에 따른 A 주 투자 한도를 추가 신청하여 이 투자신탁이 중국 본토 A 주에 투자하는 효과를 나타낼 수 있도록 할 것입니다. -다만, 이 투자신탁의 모투자신탁중 중국 본토 A 주에 주로 투자하는 모투자신탁의 A 주 투자 한도가 모두 소진된 상태에서 이 투자신탁으로의 급격한 추가 설정이 발생되는 경우, 중국 본토 A 주 대체수단의 투자비중이 일시적으로 이 투자신탁자산총액의 100 분의 50 을 초과할 수 있으며, 이 경우 증권시장을 통하여 지체없이 공시할 것입니다."
투자유의사항,"- 이 투자신탁은 기초지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 투자신탁보수 및 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 따라서, 이 투자신탁의 수익률과 기초지수의 수익률이 동일할 것을 전제로 하는 투자는 당해 추적오차로 인하여 예상하지 못한 손실을 실현할 수도 있습니다. - 거래가 부족하여 개인 수익자가 원하는 가격과 수량에 매도하지 못할 경우 개인 수익자는 현금화가 어려워질 수도 있으며, 이론 인해 기대하지 않은 손실이 발생할 수 있습니다. - 투자신탁이 관련규정에서 정하는 사유에 해당하는 경우 투자신탁이 상장 폐지될 가능성이 있습니다. 또한, 지수산출기관이 지수발표를 중단하게 되는 등의 이유로 이 투자신탁이 목표로 하는 지수를 산정할 수 없거나 이용할 수 없게 되는 경우도 이 투자신탁은 상장이 폐지될 수 있습니다. - 이투자신탁은 해외투자로 인한 환율변동 위험에 대해 환율변동위험 제거를 위한 환헷지 전략은 기본적으로 실시하지 않을 계획이므로 환율변동에 따른 위험에 노출되어 있습니다. 다만, 이 투자신탁의 운용을 담당하고 있는 담당 운용역은 환율 관련 시황, 해지대금의 규모, 투자 대상 국가 또는 관련 국가의경제 현황 등에 대한 분석에 기초하여 이 투자신탁의 신탁재산 일부 또는 전부에 대하여 중국 통화또는 다른 통화를 활용한 환헷지 전략을 실행할 수도 있습니다. - 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kodex.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
