항목,내용
한글명,TIGER 차이나CSI300
영문명,TIGER CHINA A300
표준코드,KR7192090009
종목코드,192090
상장일,2014-02-17
펀드형태,수익증권형
기초지수명,CSI 300
추적배수,일반 (1)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),
총보수(%),0.63
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 2014년 12월 31일까지."
과세유형,배당소득세(해외주식투자전용ETF)
분배금 지급일,회계기간 종료일(종료일이 영업일이 아닌 경우 종료일의 직전 영업일)
홈페이지,http://www.tigeretf.com
http://www.tigeretf.com,http://www.tigeretf.com
기초 시장,(해외) (아시아) (중국)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 ETF는 중국본토 주식 및 주식관련 파생상품에 투자하는 모투자신탁 및 중국본토 주식관련 집합투자증권 및 파생상품에 투자하는 모투자신탁에 투자하며, CSI 300 지수의 수익률 추종을 목적으로 합니다. China Securities Index Co., Ltd.에서 발표하는 CSI 300 지수는 중국본토 상해거래소 및 심천거래소에 상장된 주식 중, 시가총액/유동성/거래량/재무현황 등을 고려하여 선정한 300종목으로 구성된 지수이며 매 6개월(1월초, 7월초)마다 정기변경 됩니다.  이 ETF는 환헤지를 실행하지 않을 계획입니다."
투자유의사항,"이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다.  개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다.  상품에 대한 자세한 내용은 집합투자업자 인터넷홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
