항목,내용
한글명,히어로즈 TDF2030액티브
영문명,HEROES TDF 2030 Active
표준코드,KR7435530001
종목코드,435530
상장일,2022-06-30
펀드형태,수익증권형
기초지수명,Dow Jones Target 2030 Index (Total Return)
추적배수,일반 (1)
자산운용사,키움투자자산운용(주)
지정참가회사(AP),"SK증권, 메리츠증권, 신한금융투자, 키움증권, 한국투자증권"
총보수(%),0.3
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1, 4, 7, 10월의 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kosef.co.kr
http://www.kosef.co.kr,http://www.kosef.co.kr
기초 시장,(국내&해외) (-) (-)
기초 자산,(혼합자산) (주식+채권) / (-) (-) / (-)
기본 정보,"1. 이 ETF 는 S&P Dow Jones Indices LLC에서 산출하여 발표하는 Dow Jones Target 2030 Index를 기초지수(비교지수)로 하는 액티브 상장지수 집합투자기구로, 기초지수와의 상관관계를 0.7 이상 유지하면서 시장상황 및 한국인의 평균적인 생애주기 등을 고려한 자산배분 모델에 따라 국내/외 주식, 채권, 대체자산 관련 집합투자증권의 투자비중을 탄력적으로 조절하는 자산배분전략을 활용하여 기초지수 대비 안정적인 초과수익 달성을 목표로 합니다. 2. 해당 기초/비교지수인 Dow Jones Target 2030 Index는 혼합지수로서 지수구성종목이 지수산출기관인 S&P Dow Jones Indices에서 산출 및 공표하는 자산군별 하위지수로 구성되어 있습니다. 글라이드패스 모델에 따라 자산군별 하위지수의 비중을 정하고 각 하위지수의 일간수익률을 가중 평균하여 비교지수의 일간수익률을 산출합니다. 3. 이 ETF는 기초자산의 통화인 달러화(USD)에 대하여는 별도의 환헤지를 실시하지 않습니다."
투자유의사항,"1. 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. 2. 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다."
