항목,내용
한글명,KODEX 테슬라커버드콜채권혼합액티브
영문명,KODEX TSLA Covered Call Balanced Active
표준코드,KR7475080008
종목코드,475080
상장일,2024-01-23
펀드형태,수익증권형
기초지수명,KEDI 테슬라 인컴 프리미엄 밸런스드 지수(TR)
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"키움증권, 메리츠증권, 미래에셋증권, 한국투자증권, 신한투자증권"
총보수(%),0.39
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"- 매월의 마지막 영업일 및 회계기간 종료일 (다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kodex.com/
http://www.kodex.com/,http://www.kodex.com/
기초 시장,(국내&해외) (-) (-)
기초 자산,(혼합자산) (주식+채권) / (-) (-) / (-)
기본 정보,"이 투자신탁은 KEDI(한국경제신문)이 발표하는 KEDI 테슬라 인컴 프리미엄 밸런스드 지수(Total Return)를 비교지수로 하여 1좌당 순자산가치의 변동률이 비교지수를 초과하도록 투자신탁재산을 운용할 계획입니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다"
투자유의사항,"시장위험 및 개별위험 투자신탁재산을 채권, 주식, 집합투자증권 및 파생상품 등에 투자함으로써 증권의 가격 변동, 이자율 등 기타 거시경제지표의 변화 등에 따른 위험에 노출됩니다. 또한, 투자신탁재산의 가치는 투자대상종목 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있습니다. 이자율 변동에 따른 위험 채권의 가격은 이자율에 의해 결정됩니다. 일반적으로 이자율이 하락하면 채권가격의 상승에 의한 자본이득이 발생하고 이자율이 상승하면 자본손실이 발생합니다. 따라서 채권을 만기까지 보유하지 않고 중도에 매도하는 경우에는 시장상황에 따라 손실 또는 이득이 발생할 수 있습니다. 액티브 ETF 투자위험 이 집합투자기구는 유가증권시장 상장규정 제113조에 따른 액티브상장지수펀드로 상장지수펀드의 순자산가치의 변화를 가격 및 지수의 변화를 초과하도록 운용하는 것을 목표로 합니다. 따라서 이 투자신탁은 투자신탁을 운용하는 담당매니저의 재량으로 운용되는 투자신탁이며 비교지수의 성과와 다른 성과가 실현될 수 있습니다. 콜옵션 조기행사의 위험 이 투자신탁이 매도하는 콜옵션은 조기행사를 가정하지 않는 비교지수와 달리 만기 이전 행사가 가능합니다. 이는 ETF 비교지수와 상관계수를 저하시키는 요인으로 작용합니다. 유가증권시장 상장규정에 따라 ETF(상장일부터 1년이 경과하지 아니한 ETF는 제외)의 1좌당 순자산가치의 일간변동률과 ETF 비교지수 일간변동률의 상관계수가 0.7 미만이 되어 3개월간 계속되는 경우 상장폐지 대상이 되므로 이에 해당하지 않도록ETF와 비교지수의 상관계수를 관리할 예정입니다. 특정국가 집중투자위험 이 투자신탁은 해외 특정 국가(미국)의 주식에 주로 투자하기 때문에 특정국가(미국)의 시장, 정치 및 경제상황 등에 따른 위험에 더 많이 노출이 되어 있으며, 이는 일반적으로 해외 주식시장 전체에 투자하는 글로벌 주식형 투자신탁보다 더 높은 위험을 부담할 가능성이 높습니다. 월 분배금 지급에 따른 위험 이 투자신탁은 기초자산에서 발생하는 배당재원(주식배당, 옵션프리미엄, 이자소득, 기타수익 등)등의 범위 내에서 매월 분배금을 수익자에게 지급함을 목적으로 운용되는 펀드입니다. 다만, 상장 초기의 경우 배당재원 부족으로 월분배 불가능 가능성이 존재하며, 이후 배당재원이 부족할 경우 배당금이 줄거나 지급되지 않을 수 있으며 지급 방식이 변동될 수 있습니다. 커버드콜 전략위험 이 투자신탁은 비교지수 대비 초과수익을 목표로 콜옵션매도(커버드콜) 전략을 반복적으로 실행하는 바, 이러한 콜옵션 매도 전략의 성과는 이 투자신탁의 성과에 상당한 영향을 미칩니다. 일반적으로 주가가 단기간에 강하게 상승할 경우 또는 주가가 단기간 폭등과 하락을 반복하는 특수한 양상으로 변화하는 등의 경우에 이 투자신탁의 성과가 평균적인 주식 투자성과에 미달할 가능성이 높습니다. 투자자산별 투자비중 고정에 따른 위험 이 투자신탁의 비교지수는 전체 포트폴리오에서 개별자산의 투자 비중을 매일 리밸런싱하여 초기 배분 비중(커버드콜30%: 채권70%)으로 일정하게 유지시키는 Constant Mix 방식으로 산출하고 있습니다. 투자전략상 단일종목인 테슬라의 편입비중이 매우 높고 배분비중 조절을 위한 매매과정에서 기초지수 성과와 괴리(추적오차)가 크게 발생할 수 있습니다. 환율변동위험 이 투자신탁은 해외투자로 인한 환율변동 위험에 대해 환율변동위험 제거를 위한 환헷지 전략은 실시하지 않을 계획이므로 추적 대상지수 구성 종목의 변동뿐만 아니라 각 국 통화 대비 원화환율의 변동에 의해서도 신탁재산의 가치가 변동됩니다. 집중투자에 따른 위험(종목) 이 투자신탁은 법령이 허용하는 한도 내에서 소수 종목에 선별적으로 집중 투자할 수 있으며 이에 따라 변동성 및 일부 종목의 집합투자기구에 미치는 영향력이 동일 유형의 일반적인 집합투자기구 혹은 해당 시장에 비하여 상대적으로 클 수 있습니다."
