항목,내용
한글명,ACE 글로벌인컴TOP10 SOLACTIVE
영문명,ACE Solactive Global Income TOP10
표준코드,KR7460960008
종목코드,460960
상장일,2023-07-11
펀드형태,수익증권형
기초지수명,Solactive Global Superior Income TOP 10 Price Return Index
추적배수,일반 (1)
자산운용사,한국투자신탁운용
지정참가회사(AP),"키움증권, 한국투자증권"
총보수(%),0.24
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,매월 마지막 영업일
홈페이지,https://www.aceetf.co.kr/
https://www.aceetf.co.kr/,https://www.aceetf.co.kr/
기초 시장,(해외) (글로벌) (-)
기초 자산,(혼합자산) (주식+채권) / (-) (-) / (-)
기본 정보,"· 이 투자신탁은 Solactive AG가 발표하는 “Solactive Global Superior Income TOP 10 Price Return Index”를 기초지수로하여 1좌당 순자산가치의 변동률을 기초지수와 유사하도록 투자신탁 재산을 운용함을 목적으로 합니다. · Solactive AG가 발표하는 “Solactive Global Superior Income TOP 10 Price Return Index”는 미국 상장된 3년 연속 분배금을 지급한 ETF 중, 분배수익률이 높고 분배 지급 일관성이 우수한 10개 ETF로 구성된 지수입니다. 2018년 2월 14일 1,000pt를 기준으로 2023년 4월 13일 발표되었습니다."
투자유의사항,· 이 투자신탁은 환헤지를 실행하지 않을 계획이므로 환율변동 위험에 노출되어 있음에 유의하시기 바랍니다. · 상품에 대한 자세한 내용은 운용사 홈페이지 (http://www.aceetf.co.kr) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다.
