항목,내용
한글명,KODEX 한중전기차(합성)
영문명,KODEX KR CH New Energy Vehicles(SYNTH)
표준코드,KR7450180005
종목코드,450180
상장일,2022-12-22
펀드형태,수익증권형
기초지수명,KRX CSI 한·중 전기차 지수
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"키움증권, 메리츠증권, NH투자증권, KB증권, 미래에셋증권"
총보수(%),0.25
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kodex.com/
http://www.kodex.com/,http://www.kodex.com/
기초 시장,(국내&해외) (-) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 KRX CSI 한중 전기차지수(KRW)를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수 변동률과 연동하여 투자신탁재산을 운용함을 그 운용목적으로 합니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
투자유의사항,"시장위험 및 개별위험 투자신탁재산을 주로 한국 및 중국 주식으로 구성된 주가지수를 기초로 하는 장외파생상품과 상장된 수익증권에 투자함으로써 유가증권의 가격 변동, 이자율, 환율변동 등 기타 거시경제지표의 변화에 따른 위험에 노출됩니다. 특히, 이 투자신탁은 국내통화와 투자국가 통화간의 환율변동 등 해외경제지표의 변화에 따른 위험에 노출되어 있습니다. 또한, 투자신탁재산의 가치는 투자대상 장외파생상품과 수익증권이 투자하는 발행회사의 영업환경, 재무상황 및 신용상태의 악화에 따라 급격히 변동될 수 있으며이에 따른 투자원금의 손실이 발생할 수 있습니다. 상장폐지위험 유가증권시장 상장규정 제116조의 상장폐지기준에 해당되거나 공익과 투자자보호를 위하여 증권시장이 이 투자신탁의 수익증권 상장폐지가 필요하다고 인정하는 경우 이 투자신탁은 상장폐지하여야 합니다. 투자자는 상장폐지 전에 매도 청산하거나, 상장폐지 시점의 NAV 기준으로 분배받게 됩니다. 시장거래에 따른 순자산가치와의 괴리 위험 이 투자신탁은 한국거래소에 상장되어 거래되며 시장가격으로 유통시장을 통해 매매됩니다. 이 투자신탁의 시장 가격은 순자산가치(NAV) 및 유통시장의 수요와 공급에 따라 변동됩니다. 따라서, 이 투자신탁의 시장 가격은 이 투자신탁에 수요와 공급으로 인해 NAV보다 높게 또는 낮게 형성될 수 있습니다. 합성ETF 투자위험 이 투자신탁은 거래상대방과의 장외파생상품 계약을 중요한 운용수단으로 하여 기초지수의 수익률을 추종합니다. 이에 따라 거래상대방의 자격요건과 위험관리 및 담보관리 등을 관리하고 있으며, 이 투자신탁의 계속성에 중대한 영향을 미칠 수 있을 경우 상장폐지의 사유가 될 수 있습니다. 장외파생상품 관련 위험 이 투자신탁은 거래소와 같은 공개시장이 아닌 장외시장에서 거래가 이루어지는 장외파생상품에 주로 투자합니다. 상대적으로 정부의 규제나 감독이 엄격하지 않는 장외시장에서 거래가 이루어짐으로써 거래소의 정산이행보증과 같이 장내거래 참여자들에게 제공되는 보호가 제공되지 않습니다. 따라서 장외파생상품에 투자 시에는 거래상대방이 파산하거나 신용위기를 경험하는 경우 투자자금 전액회수가 불가능할 수도 있는 위험에 노출됩니다. 또한 거래상대방의 영업환경, 재무상황, 부도처리 및 신용상태의 악화에 따라 투자원금의 전부 또는 일부 손실이 발생될 수 있는 신용위험에 노출되어 있습니다 ETF 거래가격과 순자산가치(NAV)와의 괴리 위험 한국거래소에 상장되어 있는 ETF의 경우 경쟁매매를 통해 ETF의 거래가격이 결정되기 때문에 1좌당 거래가격이 1좌당 NAV에 비해 높거나 낮은 수준에서 거래될 수 있습니다. 이로 인해 투자자는 1좌당 NAV와 일치하지 않는 ETF를 매수 또는 매도할 수 있으며 이러한 거래로 인해 손실이 발생할 수 있습니다. 개인수익자의 투자자금 회수 곤란 위험 개인수익자는 보유 수익증권을 증권시장에서 매도하는 방법으로만 현금화가 가능합니다. 따라서, 증권시장에서 이 투자신탁 수익증권의 거래가 부족하여 개인 수익자가 원하는 가격에 원하는 수량을 매도하지 못할 경우에는 수익증권의 현금화가 어려워질 수도 있으며, 이로 인하여 기대하지 아니한 손실이 발생할 수도 있습니다. ※ 법인수익자의 경우 보유 수익증권을 증권시장에서 매도하거나 이 투자신탁 수익증권을 설정단위 또는 그 정배수로 판매회사 또는 지정참가회사에 환매 신청할 경우에는 판매회사 또는 지정참가회사에서 환매가 가능합니다. 환율변동위험 이 투자신탁은 해외투자로 인한 환율변동위험에 대해 환율변동위험 제거를 위한 환헷지 전략을 기본적으로 실시하지 않을 계획이므로 환율변동에 따른 위험에 노출되어 있습니다."
