항목,내용
한글명,KODEX AI전력핵심설비
영문명,KODEX AI Electric Power Core Facilities
표준코드,KR7487240004
종목코드,487240
상장일,2024-07-09
펀드형태,수익증권형
기초지수명,iSelect AI 전력핵심설비 지수(Price Return)
추적배수,일반 (1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"메리츠증권, NH투자증권, 키움증권, SK증권, 유진투자증권, KB증권, 하나증권, 하이투자증권, DB금융투자, 삼성증권, 현대차증권, 한국투자증권, LS증권, 한화투자증권"
총보수(%),0.39
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,비과세
분배금 지급일,"매 1,4,7,10월의 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.kodex.com
http://www.kodex.com,http://www.kodex.com
기초 시장,(국내) (코스피+코스닥) (-)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"이 투자신탁은 NH투자증권에서 발표하는 iSelect AI전력핵심설비 지수(Price Return)를 기초지수로 하여 1좌당 순자산가치의 변동률이 기초지수의 변동률과 유사하도록 투자신탁재산을 운용할 계획입니다. ※ 그러나 상기의 투자목적이 반드시 달성된다는 보장은 없으며, 집합투자업자, 신탁업자, 판매회사 등 이 투자신탁과 관련된 어떠한 당사자도 투자원금의 보장 또는 투자목적의 달성을 보장하지 아니합니다."
