항목,내용
한글명,SOL 국고채3년
영문명,SOL KTB 3Y
표준코드,KR7438560005
종목코드,438560
상장일,2022-09-06
펀드형태,수익증권형
기초지수명,KAP 국고채3년지수(총수익지수)
추적배수,일반 (1)
자산운용사,신한자산운용 주식회사
지정참가회사(AP),"키움증권, 미래에셋증권, 한국투자증권, sk증권, 신한금융투자"
총보수(%),0.05
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.soletf.com
http://www.soletf.com,http://www.soletf.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (-) (중기) / (-)
기본 정보,"이 투자신탁은 법 시행령 제 92조 2항제 4호에서 규정하는 주된 투자대상자산으로 하며 KAP 국고채3년지수(총수익)를 기초지수로 하여 투자신탁 순자산가치의 변화를 기초지수와 유사하게 지속하는 것을 목표로 하는 국내 채권형 ETF 상품입니다. 이 투자신탁의 기초지수는 KAP(한국자산평가)가 산출하는 지수로 KTB 3년 국채선물 바스켓(국채 3종목)으로 구성되는 지수입니다. 한국의 중기채권 대표지수로서 다양한 투자 기관에서 벤치마크로 사용하고 있으며, 특히 채권혼합/주식혼합 등 다양한 금융상품의 채권부분 벤치마크로 널리 사용되고 있습니다. 기초지수는 구성종목의 이자를 재투자하는 Total Return 지수 유형이며 거래량이 많은 3년국채 선물이 기존에 상장되어 있어 해당 ETF를 투자할 경우 헤지전략과 차익거래전략 등을 동시에 실행할 수 있습니다. 해당 상품의 출시는 기관투자가와 개인의 자산배분을 위하여 국내 대표 채권의 포지션을 제공하기 위함이며 한국의 대표적인 국내채권(중기)의 벤치마크 지표가 되는 지수로서 이를 ETF로 출시할 경우 다양한 투자자에게 효율적인 투자대안을 제공할 것이라 판단됩니다. 해당 ETF의 설정단위는 1,000좌이며, 현금설정 방식으로 이루어집니다. 한국거래소를 통하여 매매하는 경우에는 1주 단위로 거래할 수 있습니다."
