항목,내용
한글명,KODEX 차이나H 레버리지(H)
영문명,KODEX China H Leverage(H)
표준코드,KR7204450001
종목코드,204450
상장일,2014-09-12
펀드형태,수익증권형
기초지수명,HSCEI Leveraged Index
추적배수,2X 레버리지 (2)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"우리투자증권, 신한금융투자, 유진투자증권, 하이투자증권, 대신증권, 키움증권"
총보수(%),0.64
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초 설정일로부터 2014년 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일. (다만 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,www.kodex.com
www.kodex.com,www.kodex.com
기초 시장,(해외) (아시아) (홍콩)
기초 자산,(주식) (시장대표) / (-) (-) / (-)
기본 정보,"이 투자신탁은 HSCEI(Hang Seng China Enterprises Index)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간 변동률의 양(陽) 2배수로 연동하여 투자신탁재산을 운용함을 그 목적으로 합니다. 이를 위하여 HSCEI 구성종목, HSCEI를 기초지수로 하는 집합투자증권 및 HSCEI 관련 파생상품, 파생결합증권 등으로 포트폴리오를 구성할 예정입니다. 이 투자신탁은 외화표시자산에 투자함에 따른 환율변동위험을 회피하기 위한 환헷지전략을 기본적으로 실시하는 것을 목적으로 하고 있습니다. 환헤지 전략을 실시함에 있어미국달러화, 홍콩달러화 등 관련 파생상품을 활용할 수 있으며 환율변동위험을 직접적 으로 회피할 수단이 존재하지 않는 경우 이종 통화간 교차헤지 또는 상관관계가 높은 통화를 활용하는 헤지 등을 실행할 수 있습니다. 다만, 해당 통화의 펀더멘탈, 시장상황, 헷지수단 및 헷지대금의 규모 등의 영향으로 투자신탁재산 일부 또는 전부가 환위험에 노출될 수 있으며 또한 이러한 외부적인 요건을 고려하여 운용역의 판단으로 일정기간 환위험에 노출될 수 있습니다"
