항목,내용
한글명,TIGER S&P글로벌인프라(합성)
영문명,TIGER SYNTH-S&P GLOBAL INFRASTRUCTURE
표준코드,KR7269370003
종목코드,269370
상장일,2017-05-16
펀드형태,수익증권형
기초지수명,S&P Global Infrastructure Index
추적배수,일반 (1)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),"대신증권,한국투자증권"
총보수(%),0.4
회계기간,"최초설정일부터 당해 연도 12월 31일까지로 하며, 이후의 회계기간은 그 익일로부터 매년 12월 31일까지로 함."
과세유형,배당소득세(보유기간과세)
분배금 지급일,"매 1월, 4월, 7월, 10월의 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.tigeretf.com
http://www.tigeretf.com,http://www.tigeretf.com
기초 시장,(해외) (글로벌) (-)
기초 자산,(주식) (업종섹터) / (-) (-) / (-)
기본 정보,"이 ETF는 주식을 기초자산으로 하여 파생상품시장에서 거래되는 장외파생상품을 주된 투자대상자산으로 하며, ""S&P Global Infrastructure 지수“를 기초지수로 하여 1좌당 순자산가치의 변동률을 원화로 환산한 기초지수의 변동률과 유사하도록 투자신탁재산을 운용함을 목적으로 합니다.  S&P Dow Jones Indices가 발표하는 S&P Global Infrastructure 지수는 S&P Global Broad Market Index에 속하는 종목 중, 에너지(Energy), 운송(Transportation), 설비(Utilities)에 해당하는 종목을 선정하여 규모와 유동성 조건을 충족하는 75개 종목을 구성종목으로 하여 수정시가총액 가중방식으로 산출하는 지수입니다."
투자유의사항,"이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다.  개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다.  상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
