항목,내용
한글명,KODEX 국채선물10년인버스
영문명,KODEX 10Y F-LKTB INVERSE
표준코드,KR7176950004
종목코드,176950
상장일,2013-05-31
펀드형태,수익증권형
기초지수명,10년국채선물 인버스지수
추적배수,1X 인버스 (-1)
자산운용사,삼성자산운용(주)
지정참가회사(AP),"메리츠종금증권,우리투자증권"
총보수(%),0.07
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초 설정일로부터 2013년 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"회계기간 종료일. 다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일"
홈페이지,http://www.kodex.com
http://www.kodex.com,http://www.kodex.com
기초 시장,(국내) (주식외) (-)
기초 자산,(채권) (국공채) / (-) (장기) / (-)
기본 정보,"10년국채선물지수(이하 “기초지수”라 한다)를 기초지수로 하여 1좌당 순자산가치의 일간변동률을 기초지수 일간변동률의 음(陰)의 1배수로 연동하여 투자신탁재산을 운용하는 것을 운용목표로 합니다. 한국거래소가 산출하는 10년국채선물지수는 이 지수는 한국거래소에 상장된 10년국채선물의 최근월물의 가격을 기준으로 비교시점의 선물계약금액을 기준시점의 선물계약금액으로 나눈 값에 배수(1,000)를 곱하여 산출합니다. (기준시점 2011년 1월 2일) 10년국채선물은 만기가 10년이고, 표면금리가 연 5%이며 6개월마다 이자가 지급되는 가상의 국고채권 표준물을 그 거래대상으로 하는 선물상품입니다. 음의 1배수로 추종함에 있어 그 운용 방법은 10년국채선물 및 10년국고채권 매도 포지션으로 운용합니다. 또한 10년국채선물 ETF의 차입 등 기타 효율적인 방법을 통하여 포트폴리오를 구성합니다."
투자유의사항,"이 투자신탁은 기초지수와 동일한 수익률을 실현함을 그 투자목적으로 하고 있으나, 투자신탁보수 및 위탁매매수수료 등 관련 비용의 지출 등 현실적 제한으로 인하여 기초지수와 동일한 수익률이 실현되지 아니할 가능성이 있습니다. 따라서, 이 투자신탁의 수익률과 추적대상 지수의 수익률이 동일할 것을 전제로 하는 투자는 당해 추적오차로 인하여 예상하지 못한 손실을 실현할 수도 있습니다. 또한 국채현물의 대차매도 및 보유현금의 통안채 운용으로 국채현물 시장 등의 급격한 변동시에는 일시적으로 추적오차가 확대될 수도 있습니다. 단기물에 투자하는 채권형 펀드에 비하여 금리 민감도가 높으므로 투자자의 예상과 달리 금리가 인하되는 경우에는 보다 큰 손실이 발생될 수 있습니다. 기초지수의 일간변동률의 음의 1배수로 연동하여 운용하므로 누적수익률이 음의 1배수와는 상이합니다. 따라서 투자기간이 하루보다 길거나 짧은 경우에는 해당 투자기간 동안의 수익률이 기초지수 수익률의 음의 1배수와는 상이할 수 있습니다. 파생상품은 작은 증거금으로 거액의 결제가 가능한 레버리지 효과로 인하여 기초자산에 직접 투자하는 경우에 비하여 훨씬 높은 위험에 노출될 수 있습니다. 거래가 부족하여 개인 수익자가 원하는 가격과 수량에 매도하지 못할 경우 개인 수익자는 현금화가 어려워질 수도 있으며, 이론 인해 기대하지 않은 손실이 발생할 수 있습니다. 투자신탁이 관련규정에서 정하는 사유에 해당하는 경우 투자신탁이 상장 폐지될 가능성이 있습니다. 또한, 지수산출기관이 지수발표를 중단하게 되는 등의 이유로 이 투자신탁이 목표로 하는 지수를 산정할 수 없거나 이용할 수 없게 되는 경우도 이 투자신탁은 상장이 폐지될 수 있습니다. 상품에 대한 자세한 내용은 자산운용사 홈페이지(http://www.kodex.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
