항목,내용
한글명,TIGER 미국테크TOP10 INDXX(H)
영문명,TIGER US Tech Top10 INDXX(H)
표준코드,KR7472160001
종목코드,472160
상장일,2023-12-05
펀드형태,수익증권형
기초지수명,Indxx US Tech Top 10 Index
추적배수,일반 (1)
자산운용사,미래에셋자산운용(주)
지정참가회사(AP),"미래에셋증권, 키움증권, KB증권, 메리츠증권, 한국투자증권"
총보수(%),0.49
회계기간,"매년 1월 1일부터 12월 31일까지. 단, 최초 회계기간은 최초설정일로부터 당해연도 12월 31일까지"
과세유형,배당소득세(보유기간과세)
분배금 지급일,"1월, 4월, 7월, 10월 마지막 영업일 및 회계기간 종료일(다만, 회계기간 종료일이 영업일이 아닌 경우 그 직전 영업일)"
홈페이지,http://www.tigeretf.com
http://www.tigeretf.com,http://www.tigeretf.com
기초 시장,(해외) (북미) (미국)
기초 자산,(주식) (업종섹터) / (-) (업종테마) / (-)
기본 정보,"- 이 ETF는 주식을 주된 투자대상자산으로 하며, “Indxx US Tech Top 10 지수""의 수익률 추종을 목적으로 하는 ETF입니다. - Indxx가 발표하는 “Indxx US Tech Top 10 지수”는 미국 나스닥 상장 주식 중 미국의 금융데이터 기업인 FactSet Industry 기준으로'Tech-Oriented' 기업이 속하는 섹터를 선별한 뒤 시가총액 상위 10개 종목으로 구성한 지수입니다. 여기서의 ‘Tech-Oriented’ 기업이란, 주로 기술 제품/서비스를 다루거나 독자적 기술에 바탕한 소비재/서비스를 제공하는 기업을 의미합니다. 또한 이 투자신탁은 환율변동위험 경감을 위한 환헤지 전략을 실행할 계획입니다."
투자유의사항,"- 이 ETF의 수익률은 보수 또는 비용 등 이 ETF의 순자산가치에 부의 영향을 미치는 다양한 이유로 인하여 기초지수 수익률과 괴리(추적오차)가 발생할 수 있습니다. - 개인투자자는 보유 ETF를 거래소에서 매도하는 방법으로만 현금화가 가능하므로 보유수익증권을 판매회사 또는 지정참가회사에 환매 신청할 수 없으며, 거래소의 거래 상황에 따라 동 ETF의 순자산가치와 거래가격이 다르게 형성될 수 있습니다. - 상품에 대한 자세한 내용은 집합투자업자 인터넷 홈페이지(http://www.tigeretf.com) 또는 금융감독원 전자공시시스템의 투자설명서를 통해 확인하시기 바랍니다."
